BCL6	IL21
CCL11	CCR3
CCL11	CCR4
CCL11	CCR8
CCL11	IL13
CCL11	IL4
CCL11	IL9
CCL11	STAT6
CCL17	CCR3
CCL17	CCR4
CCL17	CCR8
CCL17	IL4
CCL17	STAT6
CCL2	CCL5
CCL2	CCR3
CCL2	CCR4
CCL2	CCR8
CCL2	CSF2
CCL2	IL10
CCL2	IL12B
CCL2	IL13
CCL2	IL4
CCL2	MMP9
CCL22	CCR3
CCL22	CCR4
CCL22	CCR8
CCL22	IFNG
CCL24	CCR3
CCL26	CCR3
CCL26	IL4
CCL26	STAT6
CCL5	CCR3
CCL5	CCR4
CCL5	CCR8
CCL5	CD40LG
CCL5	CSF2
CCL5	IFNG
CCL5	MMP9
CCL8	CCR3
CCR3	IFNG
CCR3	IL4
CCR3	IL5
CD40LG	ICOS
CD40LG	IFNG
CD40LG	IL10
CMA1	KITLG
CRLF2	TSLP
CSF2	CSF3R
CSF2	IFNG
CSF2	IL10
CSF2	IL13
CSF2	IL2RA
CSF2	IL3
CSF2	IL3RA
CSF2	IL4
CSF2	IL5
CSF2	IL5RA
CSF2	IL9
CSF2	KIT
CSF2	STAT5A
FCER1A	MS4A2
FOXP3	GATA3
FOXP3	IFNG
FOXP3	IL10
FOXP3	IL17A
FOXP3	IL21
FOXP3	IL2RA
FOXP3	RORC
FOXP3	STAT5A
FOXP3	STAT6
FOXP3	TBX21
GATA3	IL10
GATA3	IL13
GATA3	IL4
GATA3	IL5
GATA3	SATB1
GATA3	STAT6
GATA3	TBX21
ICOS	IL10
ICOS	IL21
ICOS	PDCD1
ICOS	TBX21
IFNG	IFNGR2
IFNG	IL10
IFNG	IL12A
IFNG	IL12B
IFNG	IL13
IFNG	IL17A
IFNG	IL18
IFNG	IL2RA
IFNG	IL3
IFNG	IL4R
IFNG	IL5
IFNG	STAT5A
IFNG	STAT6
IFNG	TBX21
IFNG	TGFB1
IFNGR2	IL12B
IL10	IL12B
IL10	IL13
IL10	IL17A
IL10	IL2RA
IL10	IL4R
IL10	IL5
IL10	STAT6
IL10	TBX21
IL10	TGFB1
IL12A	IL12B
IL12A	IL4
IL12A	TBX21
IL12B	IL4
IL12B	STAT6
IL12B	TBX21
IL13	IL13RA1
IL13	IL13RA2
IL13	IL18
IL13	IL3
IL13	IL4
IL13	IL4R
IL13	IL5
IL13	IL9
IL13	STAT6
IL13	TGFB1
IL13RA1	IL4
IL13RA1	IL4R
IL13RA1	STAT6
IL13RA2	IL4
IL13RA2	IL4R
IL13RA2	STAT6
IL17A	IL17RB
IL17A	IL21
IL17A	IL4
IL17A	IL5
IL17A	MMP9
IL17A	RORC
IL17A	TBX21
IL17A	TGFB1
IL17RB	IL25
IL18	IL4
IL18	TBX21
IL1RL1	IL33
IL21	IL2RA
IL21	IL4
IL21	IL9
IL21	TBX21
IL25	IL33
IL25	IL5
IL2RA	IL3
IL2RA	IL4
IL2RA	IL4R
IL2RA	IL5
IL2RA	TNFRSF4
IL3	IL3RA
IL3	IL4
IL3	IL5
IL3	IL5RA
IL3	IL9
IL33	IL5
IL3RA	IL5
IL4	IL4R
IL4	IL5
IL4	IL9
IL4	KITLG
IL4	MAF
IL4	STAT6
IL4	TBX21
IL4	TSLP
IL4R	STAT5A
IL4R	STAT6
IL5	IL5RA
IL5	IL9
IL5	STAT6
IL5	TSLP
KIT	KITLG
KIT	STAT5A
KITLG	STAT5A
MMP9	PPARG
MMP9	TGFB1
RETNLB	STAT6
RORC	TBX21
STAT5A	TBX21
STAT6	TBX21
TNFRSF4	TNFSF4
