	ADAM33	ADRB2	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CHI3L1	CHIA	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL31	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	PRG2	RETNLB	RNASE2	RNASE3	RORC	SATB1	SIGLEC8	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TPSAB1	TSLP	
CLC	0.011924	0.011924	0.011923	0.011922	0.011922	0.011923	0.011923	0.011923	0.011922	0.011923	0.011923	0.011927	0.011923	0.011923	0.011923	0.011922	0.011922	0.011922	0.011924	0.011923	0.011995	0.011937	0.011924	0.011939	0.011922	0.011897	0.011929	0.011923	0.011929	0.011938	0.011922	0.011922	0.011923	0.011922	0.011923	0.011923	0.011923	0.011923	0.011923	0.011923	0.011922	0.011922	0.011923	0.011922	0.011922	0.011922	0.011922	0.011922	0.011923	0.011923	0.011923	0.011922	0.011922	0.011923	0.011924	0.011903	0.011923	0.011923	0.011923	0.011924	0.011922	0.011922	0.011923	0.011922	0.011924	0.011922	0.011922	0.011932	0.011923	0.011926	0.011923	0.011929	0.011926	0.011922	0.011918	0.010307	0.011922	0.011923	0.011923	0.011923	0.011923	0.011921	0.011924	0.011922
CLCA1	0.011929	0.011927	0.011926	0.011946	0.011927	0.011928	0.011926	0.011927	0.011927	0.011926	0.011926	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011927	0.011929	0.011928	0.011937	0.011949	0.011921	0.011843	0.011928	0.011895	0.011928	0.011925	0.011917	0.011931	0.011927	0.011925	0.011927	0.011933	0.011929	0.011929	0.011927	0.011927	0.011927	0.011929	0.011926	0.011926	0.011928	0.011929	0.011927	0.011926	0.011927	0.011927	0.011927	0.011926	0.01193	0.011926	0.011926	0.011926	0.011927	0.011902	0.011925	0.011927	0.011926	0.011922	0.011924	0.011929	0.011928	0.011927	0.011928	0.01193	0.011917	0.012068	0.011927	0.011858	0.011929	0.011926	0.011923	0.011927	0.011929	0.010105	0.011927	0.011927	0.011927	0.01193	0.011928	0.011927	0.011912	0.011927	
CMA1	0.011925	0.011925	0.011923	0.011921	0.011923	0.011924	0.011924	0.011924	0.011924	0.011924	0.011924	0.011926	0.011924	0.011925	0.011924	0.011923	0.011923	0.011923	0.011925	0.011923	0.011924	0.011921	0.01193	0.012047	0.011924	0.011896	0.011924	0.011927	0.01193	0.011927	0.011923	0.011922	0.011925	0.011922	0.011924	0.011924	0.011924	0.011923	0.011924	0.011924	0.011923	0.011923	0.011923	0.011924	0.011924	0.011923	0.011923	0.011923	0.011924	0.011924	0.011927	0.011924	0.011924	0.011924	0.011924	0.011901	0.011924	0.011924	0.011923	0.011927	0.011924	0.011922	0.011923	0.011923	0.011925	0.011924	0.011935	0.011905	0.011923	0.011895	0.011924	0.011927	0.011929	0.011923	0.011921	0.010246	0.011924	0.011924	0.011924	0.011923	0.011924	0.011923	0.011945	0.011923	
CPA3	0.01188	0.01189	0.011866	0.011831	0.011869	0.011871	0.011893	0.011897	0.011882	0.011906	0.011888	0.011924	0.011893	0.011877	0.011897	0.011873	0.011872	0.011876	0.011877	0.01186	0.011939	0.011843	0.012047	0.01517	0.011859	0.011861	0.011886	0.011875	0.012097	0.01189	0.011877	0.011876	0.011881	0.01186	0.011889	0.011853	0.011882	0.011871	0.011891	0.011888	0.011878	0.011874	0.011869	0.011853	0.011875	0.011878	0.011873	0.011872	0.011884	0.011895	0.011865	0.011885	0.011883	0.011895	0.011879	0.011855	0.011904	0.011888	0.01188	0.01199	0.011898	0.011857	0.011877	0.011867	0.011882	0.011854	0.011941	0.011785	0.011872	0.012054	0.01186	0.012067	0.01201	0.011863	0.011824	0.0094128	0.011878	0.011877	0.011888	0.011879	0.011866	0.011863	0.012421	0.011875	
CRLF2	0.011929	0.011929	0.011929	0.01193	0.011928	0.011929	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.01193	0.011928	0.011928	0.011928	0.011928	0.01193	0.011929	0.011922	0.011928	0.011924	0.011859	0.011931	0.011897	0.011928	0.01193	0.011919	0.011932	0.011928	0.011927	0.011929	0.011928	0.011928	0.011931	0.011928	0.011929	0.011928	0.011928	0.011928	0.011928	0.011929	0.011931	0.011929	0.011928	0.011928	0.011928	0.011928	0.011928	0.011933	0.011928	0.011928	0.011928	0.011928	0.011904	0.011927	0.011928	0.011928	0.011924	0.011927	0.011929	0.011928	0.011928	0.01193	0.01193	0.011926	0.011915	0.011929	0.011866	0.01193	0.01192	0.011925	0.011928	0.011929	0.01017	0.011928	0.011929	0.011928	0.011928	0.01193	0.011929	0.011918	0.011928	
CSF2	0.011897	0.011897	0.011898	0.011895	0.011898	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011898	0.011897	0.011897	0.011897	0.011897	0.011895	0.011896	0.011861	0.011897	0.011909	0.011897	0.011896	0.011896	0.011896	0.011897	0.011898	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011897	0.011898	0.011898	0.011897	0.011897	0.011897	0.011898	0.011897	0.011898	0.011897	0.011897	0.011896	0.011897	0.011897	0.011897	0.011897	0.011906	0.011897	0.011897	0.011897	0.011897	0.011898	0.011897	0.011897	0.011898	0.011897	0.011897	0.011894	0.011877	0.011897	0.011916	0.011897	0.011896	0.011896	0.011898	0.011898	0.012568	0.011897	0.011897	0.011897	0.011897	0.011897	0.011898	0.011891	0.011897
CSF3R	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011927	0.011929	0.011928	0.011924	0.011886	0.011928	0.011897	0.011927	0.011928	0.011921	0.011931	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011927	0.011904	0.011926	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011925	0.01192	0.011927	0.01189	0.011928	0.011922	0.011925	0.011926	0.011926	0.010237	0.011926	0.011927	0.011926	0.011926	0.011928	0.011926	0.011921	0.011926	
CYSLTR1	0.011929	0.01193	0.01193	0.011926	0.011928	0.011929	0.011928	0.011928	0.011928	0.011928	0.01193	0.011929	0.011928	0.01193	0.011928	0.011928	0.011929	0.011928	0.01193	0.011929	0.011923	0.011925	0.011927	0.011875	0.01193	0.011896	0.011928	0.01194	0.011923	0.011932	0.011928	0.011926	0.011931	0.011927	0.011928	0.011931	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.01193	0.011929	0.011928	0.011928	0.011928	0.011928	0.011928	0.011932	0.011928	0.011928	0.011928	0.011928	0.011904	0.011927	0.011928	0.011928	0.011925	0.011931	0.011928	0.011928	0.011928	0.011931	0.01193	0.011965	0.011894	0.011929	0.011861	0.01193	0.01192	0.011928	0.011928	0.011926	0.010127	0.011928	0.011929	0.011928	0.011927	0.01193	0.011928	0.01192	0.011928	
EPX	0.011921	0.011922	0.011919	0.011915	0.011919	0.01192	0.011921	0.011921	0.01192	0.011922	0.011921	0.011924	0.011921	0.011921	0.011921	0.01192	0.011919	0.01192	0.011921	0.011918	0.011929	0.011917	0.01193	0.012097	0.011919	0.011896	0.011921	0.011923	0.01194	0.011924	0.01192	0.011923	0.011921	0.011918	0.011921	0.011919	0.01192	0.011919	0.011921	0.01192	0.01192	0.01192	0.011919	0.011919	0.01192	0.01192	0.01192	0.01192	0.01192	0.011921	0.011922	0.011921	0.01192	0.011921	0.01192	0.011901	0.011922	0.011921	0.01192	0.011929	0.011922	0.011918	0.01192	0.011919	0.011921	0.011919	0.011936	0.011899	0.011919	0.012054	0.011919	0.011936	0.011928	0.011919	0.011915	0.010269	0.01192	0.01192	0.011921	0.01192	0.01192	0.011919	0.011949	0.01192	
FCER1A	0.011931	0.011931	0.01193	0.011929	0.011929	0.01193	0.011929	0.011929	0.011929	0.011929	0.011929	0.01193	0.011929	0.011931	0.011929	0.011929	0.011929	0.011929	0.011931	0.01193	0.011938	0.011931	0.011927	0.01189	0.011932	0.011896	0.011931	0.011932	0.011924	0.011936	0.011929	0.011928	0.01193	0.011928	0.011929	0.011932	0.011929	0.01193	0.011929	0.011929	0.011929	0.011929	0.01193	0.011931	0.01193	0.011929	0.011929	0.011929	0.011929	0.011929	0.011934	0.011929	0.011929	0.011929	0.01193	0.011904	0.011928	0.011929	0.011929	0.011927	0.011928	0.011929	0.011929	0.011929	0.011931	0.011931	0.01193	0.01191	0.01193	0.011873	0.011931	0.011923	0.011928	0.011929	0.011929	0.010021	0.011929	0.01193	0.011929	0.011929	0.011931	0.011929	0.011924	0.011929	
FOXP3	0.011927	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011923	0.011877	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.01192	0.011926	0.011881	0.011928	0.01192	0.011924	0.011926	0.011927	0.010288	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
GATA3	0.011926	0.011926	0.011925	0.011926	0.011925	0.011926	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011926	0.011925	0.011925	0.011925	0.011925	0.011926	0.011925	0.011922	0.011925	0.011922	0.011876	0.011927	0.011898	0.011925	0.011926	0.011923	0.011928	0.011925	0.011926	0.011926	0.011925	0.011925	0.011927	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011927	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011929	0.011925	0.011925	0.011925	0.011925	0.011904	0.011924	0.011925	0.011925	0.011924	0.011924	0.011925	0.011925	0.011925	0.011926	0.011926	0.011924	0.011917	0.011925	0.011955	0.011926	0.011923	0.011923	0.011925	0.011925	0.010301	0.011925	0.011925	0.011925	0.011925	0.011926	0.011925	0.011918	0.011925
GPR44	0.011928	0.011928	0.011928	0.011928	0.011927	0.011928	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.011923	0.011927	0.011925	0.011881	0.011929	0.011897	0.011927	0.011931	0.011921	0.01193	0.011927	0.011926	0.011928	0.011926	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011931	0.011927	0.011927	0.011927	0.011927	0.011904	0.011926	0.011927	0.011927	0.011924	0.011926	0.011927	0.011927	0.011927	0.011929	0.011929	0.011936	0.011914	0.011927	0.011878	0.011929	0.011921	0.011925	0.011927	0.011927	0.010211	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.011921	0.011927	
ICOS	0.011927	0.011926	0.011926	0.011934	0.011926	0.011927	0.011925	0.011926	0.011926	0.011925	0.011925	0.011926	0.011925	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011933	0.011922	0.01186	0.011928	0.011897	0.011926	0.011927	0.011918	0.011928	0.011926	0.011925	0.011926	0.011928	0.011927	0.011928	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011925	0.01193	0.011925	0.011926	0.011926	0.011926	0.011903	0.011925	0.011926	0.011926	0.011922	0.011924	0.011927	0.011926	0.011926	0.011927	0.011928	0.011922	0.011971	0.011926	0.011875	0.011928	0.011921	0.011923	0.011926	0.011927	0.010276	0.011926	0.011926	0.011926	0.011927	0.011927	0.011926	0.011916	0.011926	
IFNG	0.011927	0.011927	0.011926	0.01193	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011929	0.011924	0.011889	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011927	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011903	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.011938	0.011926	0.011882	0.011927	0.011922	0.011924	0.011926	0.011926	0.010255	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011921	0.011926	
IFNGR2	0.01193	0.011929	0.011929	0.01193	0.011929	0.01193	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.01193	0.011928	0.011929	0.011929	0.011929	0.01193	0.011929	0.011923	0.011929	0.011924	0.011853	0.011931	0.011897	0.011929	0.011931	0.011919	0.011932	0.011929	0.011927	0.011929	0.011928	0.011928	0.011932	0.011928	0.011929	0.011928	0.011928	0.011928	0.011928	0.011929	0.011931	0.011929	0.011928	0.011929	0.011929	0.011928	0.011928	0.011933	0.011928	0.011928	0.011928	0.011928	0.011904	0.011927	0.011928	0.011928	0.011924	0.011927	0.011929	0.011929	0.011929	0.01193	0.011931	0.011927	0.011919	0.011929	0.011862	0.01193	0.011919	0.011925	0.011929	0.011929	0.010162	0.011929	0.011929	0.011928	0.011928	0.01193	0.011929	0.011917	0.011929	
IL10	0.011927	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011927	0.011924	0.011882	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011927	0.011924	0.011926	0.011883	0.011928	0.011921	0.011924	0.011926	0.011926	0.010272	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.01192	0.011926	
IL12A	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011927	0.011923	0.011927	0.011923	0.011871	0.011929	0.011897	0.011927	0.011928	0.011919	0.01193	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011927	0.011926	0.011926	0.011928	0.011928	0.011926	0.01192	0.011926	0.011877	0.011928	0.01192	0.011924	0.011926	0.011927	0.010284	0.011926	0.011927	0.011926	0.011926	0.011928	0.011927	0.011918	0.011926	
IL12B	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011927	0.011924	0.011891	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011927	0.011918	0.011926	0.011882	0.011927	0.011921	0.011924	0.011926	0.011926	0.010274	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	
IL13	0.011927	0.011927	0.011926	0.01193	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011929	0.011924	0.011888	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011927	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011903	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011925	0.011941	0.011926	0.011884	0.011927	0.011922	0.011924	0.011926	0.011927	0.01026	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011921	0.011926	
IL13RA1	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	0.011923	0.011878	0.011928	0.011898	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.011917	0.011926	0.011882	0.011927	0.01192	0.011924	0.011926	0.011926	0.010306	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
IL13RA2	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	0.011923	0.011874	0.011928	0.011898	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.011917	0.011926	0.011883	0.011927	0.01192	0.011924	0.011926	0.011926	0.010309	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
IL17A	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011927	0.011923	0.011928	0.011923	0.011869	0.011929	0.011897	0.011927	0.011928	0.011919	0.01193	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011929	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011927	0.011926	0.011926	0.011928	0.011928	0.011926	0.011923	0.011927	0.011878	0.011928	0.01192	0.011924	0.011926	0.011927	0.010279	0.011926	0.011927	0.011926	0.011926	0.011928	0.011927	0.011918	0.011926	
IL17RB	0.011929	0.011929	0.011929	0.01193	0.011928	0.011929	0.011928	0.011928	0.011928	0.011927	0.011928	0.011928	0.011928	0.01193	0.011927	0.011928	0.011928	0.011928	0.01193	0.011928	0.011922	0.011929	0.011924	0.011853	0.011931	0.011897	0.011928	0.01193	0.011919	0.011931	0.011928	0.011927	0.011929	0.011928	0.011928	0.011931	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.011929	0.011931	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.011933	0.011928	0.011928	0.011928	0.011928	0.011904	0.011927	0.011928	0.011928	0.011924	0.011927	0.011928	0.011928	0.011928	0.01193	0.01193	0.011925	0.011918	0.011928	0.011872	0.01193	0.01192	0.011925	0.011928	0.011929	0.010183	0.011928	0.011928	0.011928	0.011928	0.01193	0.011928	0.011917	0.011928	
IL18	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011927	0.011922	0.011927	0.011924	0.011875	0.011929	0.011897	0.011927	0.011929	0.01192	0.01193	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011926	0.011926	0.011926	0.011926	0.011928	0.011928	0.011931	0.01192	0.011926	0.011879	0.011928	0.01192	0.011924	0.011926	0.011927	0.010271	0.011926	0.011927	0.011926	0.011926	0.011928	0.011926	0.011919	0.011926	
IL1RL1	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011925	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	0.011923	0.011878	0.011928	0.011898	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011927	0.011926	0.011917	0.011926	0.011887	0.011927	0.01192	0.011924	0.011926	0.011926	0.010307	0.011926	0.011926	0.011926	0.011925	0.011927	0.011926	0.011919	0.011926	
IL21	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011922	0.011927	0.011923	0.011873	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.01192	0.011926	0.011881	0.011928	0.01192	0.011924	0.011926	0.011927	0.010287	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
IL25	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011923	0.011872	0.011928	0.011898	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.011918	0.011926	0.011882	0.011928	0.01192	0.011924	0.011926	0.011927	0.010296	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011918	0.011926	
IL2RA	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011927	0.011924	0.011884	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.01192	0.011926	0.011886	0.011927	0.01192	0.011924	0.011926	0.011926	0.01029	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.01192	0.011926	
IL3	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011926	0.011924	0.011895	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011925	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011927	0.011927	0.011928	0.011917	0.011926	0.01189	0.011927	0.011921	0.011924	0.011926	0.011926	0.010278	0.011926	0.011926	0.011926	0.011925	0.011927	0.011926	0.011922	0.011926	
IL31	0.011931	0.011931	0.011931	0.011931	0.01193	0.011931	0.01193	0.01193	0.01193	0.01193	0.01193	0.01193	0.01193	0.011932	0.01193	0.01193	0.01193	0.01193	0.011932	0.011931	0.011923	0.01193	0.011927	0.011865	0.011933	0.011896	0.01193	0.011932	0.011922	0.011934	0.01193	0.011929	0.011931	0.01193	0.01193	0.011933	0.01193	0.011931	0.01193	0.01193	0.01193	0.01193	0.011931	0.011933	0.011931	0.01193	0.011931	0.011931	0.01193	0.01193	0.011937	0.01193	0.01193	0.01193	0.01193	0.011904	0.011929	0.01193	0.01193	0.011926	0.011929	0.011931	0.01193	0.01193	0.011932	0.011932	0.011928	0.011914	0.01193	0.011868	0.011932	0.011922	0.011927	0.01193	0.011931	0.010006	0.01193	0.011931	0.01193	0.01193	0.011932	0.011931	0.011921	0.01193	
