	ADAM33	ADRB2	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CHIA	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL31	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	PRG2	RETNLB	RNASE2	RNASE3	RORC	SATB1	SIGLEC8	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
CLCA1	0.0090182	0.0052963	0.0083086	0.0049486	0.0091483	0.010517	0.011197	0.010765	0.010683	0.010712	0.011461	0.010874	0.011227	0.010525	0.011151	0.010706	0.010765	0.010637	0.0087129	0.034116	0.048204	0.0093823	0.0045968	0.0097882	0.01113	0.010397	0.0067745	0.015338	0.0072629	0.010687	0.010547	0.010693	0.010444	0.010734	0.010428	0.010681	0.010696	0.010323	0.011783	0.01092	0.011038	0.010616	0.010019	0.010682	0.010055	0.01078	0.010856	0.011073	0.011204	0.0079017	0.010731	0.010529	0.010699	0.010722	0.010773	0.010903	0.012257	0.010576	0.010401	0.0065182	0.010428	0.010079	0.0086207	0.0093391	0.0097191	0.0056024	0.11543	0.010205	0.01115	0.0088234	0.015947	0.014696	0.010247	0.0096389	0.0056024	0.010584	0.011809	0.010631	0.010686	0.010233	0.0098142	0.010797	
CMA1	0.0099406	0.005716	0.010372	0.014079	0.0085039	0.011349	0.011521	0.011446	0.011754	0.011499	0.01128	0.011421	0.011758	0.0111	0.01149	0.011485	0.011489	0.011732	0.0064106	0.0094049	0.0093823	0.032147	0.093505	0.010992	0.011722	0.011972	0.0093262	0.010981	0.0092568	0.011552	0.011396	0.011197	0.011432	0.011679	0.011058	0.011564	0.011411	0.011087	0.011418	0.01141	0.011774	0.011583	0.010879	0.011492	0.011031	0.011565	0.011593	0.011725	0.011982	0.0095843	0.011515	0.012375	0.012045	0.011692	0.011305	0.011809	0.01259	0.015391	0.013684	0.010726	0.011313	0.013962	0.0091356	0.010533	0.011025	0.0061211	0.0045968	0.012165	0.0084859	0.0067884	0.010382	0.011293	0.011461	0.010887	0.0061211	0.011832	0.011219	0.011463	0.012074	0.011685	0.0113	0.011576	
CPA3	0.0039911	0.0019426	0.004572	0.0073328	0.0033276	0.0053744	0.0064096	0.0061691	0.0070295	0.0059917	0.0055036	0.0056972	0.0069851	0.004936	0.0060409	0.0059129	0.0059634	0.0066153	0.0023014	0.0036355	0.0045968	0.093505	0.43479	0.0048296	0.0070325	0.0061189	0.0036453	0.0052065	0.0040276	0.0061877	0.0057758	0.0055036	0.0057528	0.0066309	0.0050086	0.0065446	0.0058514	0.005716	0.0063494	0.005621	0.0065383	0.0064528	0.0047838	0.0062258	0.0048893	0.0062473	0.0062468	0.006571	0.0073819	0.0039109	0.0060129	0.0079643	0.0083265	0.0067032	0.0061211	0.0064417	0.010363	0.018338	0.013779	0.0056351	0.0055395	0.014079	0.0036953	0.0049579	0.0048463	0.0021794	0.0015374	0.0071146	0.0032577	0.0023625	0.0047111	0.0057971	0.0055138	0.0049585	0.0021794	0.0070424	0.0058844	0.0059321	0.0075316	0.0059511	0.0052941	0.0062779	
CRLF2	0.010773	0.0060767	0.010032	0.0059659	0.010566	0.013161	0.012899	0.01486	0.013165	0.015618	0.01293	0.013075	0.013098	0.013751	0.013261	0.013557	0.01355	0.013213	0.0073244	0.0099159	0.0097882	0.010992	0.0048296	0.036797	0.012843	0.013211	0.0081881	0.012188	0.0085067	0.01321	0.012755	0.012706	0.012948	0.013051	0.012226	0.012809	0.012784	0.01235	0.012763	0.012514	0.012979	0.01302	0.012369	0.01275	0.012508	0.013074	0.013224	0.013026	0.013102	0.012832	0.013336	0.013059	0.012932	0.012797	0.012749	0.013162	0.012997	0.01283	0.01255	0.0080242	0.012641	0.012201	0.012854	0.010689	0.012665	0.0070395	0.0041245	0.013029	0.0088913	0.0081372	0.011361	0.012387	0.0128	0.0118	0.0070395	0.014195	0.012846	0.012922	0.012868	0.013048	0.013469	0.015425	
CSF2	0.012224	0.0082454	0.012469	0.0086562	0.010704	0.012805	0.012803	0.012705	0.012683	0.012795	0.012851	0.012802	0.012814	0.012901	0.012824	0.012817	0.012832	0.012767	0.0085562	0.013008	0.01113	0.011722	0.0070325	0.012843	0.012916	0.013221	0.011872	0.013122	0.010004	0.012738	0.012718	0.012752	0.012752	0.012738	0.012691	0.012642	0.012702	0.012454	0.012549	0.012739	0.012789	0.012697	0.012748	0.012721	0.012825	0.012745	0.012785	0.012798	0.01284	0.011536	0.012799	0.012902	0.012661	0.012716	0.012609	0.012951	0.012667	0.01278	0.012666	0.01187	0.012713	0.012374	0.011298	0.011599	0.012709	0.0083848	0.0058821	0.012803	0.016739	0.0091232	0.013783	0.01298	0.012789	0.012515	0.0083848	0.012762	0.012541	0.012721	0.012749	0.012872	0.012794	0.012777	
CSF3R	0.012612	0.0069498	0.011162	0.0067978	0.0097781	0.013219	0.012988	0.012955	0.012955	0.01311	0.01304	0.013178	0.01306	0.013282	0.013223	0.013099	0.013172	0.013191	0.0074725	0.011427	0.010397	0.011972	0.0061189	0.013211	0.013221	0.017784	0.0095155	0.012959	0.0098203	0.013079	0.012964	0.013004	0.013046	0.01307	0.012677	0.012933	0.012957	0.012672	0.012824	0.013152	0.013214	0.01301	0.012522	0.012912	0.012698	0.013119	0.013045	0.013372	0.013552	0.012625	0.013051	0.014192	0.013012	0.013419	0.012837	0.014461	0.013079	0.013658	0.013015	0.0096337	0.01289	0.012529	0.010286	0.01198	0.012667	0.0075655	0.0045799	0.013111	0.011417	0.0079601	0.012475	0.01308	0.013025	0.012305	0.0075655	0.013518	0.012766	0.013059	0.013128	0.013486	0.012982	0.013152	
CYSLTR1	0.0073495	0.0037939	0.066914	0.0041368	0.0058961	0.0089142	0.014519	0.0098583	0.010375	0.0098932	0.0094701	0.0093123	0.010575	0.0086692	0.010049	0.0098981	0.010038	0.0097595	0.0042205	0.0079239	0.0067745	0.0093262	0.0036453	0.0081881	0.011872	0.0095155	0.12214	0.01026	0.0050807	0.0094147	0.0091664	0.0098112	0.0089951	0.0099494	0.0083172	0.0095745	0.0095072	0.0092545	0.009596	0.008467	0.0094214	0.0098745	0.010646	0.012989	0.009683	0.0096663	0.010094	0.0097324	0.010443	0.0063692	0.010365	0.010265	0.0097941	0.0096331	0.011032	0.010321	0.010262	0.010438	0.016627	0.10389	0.0088774	0.0098318	0.0065863	0.006931	0.0077969	0.0053817	0.0023888	0.0098534	0.0079098	0.0044901	0.010099	0.010305	0.0088692	0.0080746	0.0053817	0.0097957	0.0094023	0.0094468	0.010301	0.0087349	0.0079785	0.0095962	
EPX	0.011674	0.0064433	0.011283	0.006438	0.009619	0.012446	0.013094	0.01261	0.012577	0.012738	0.013557	0.012829	0.013089	0.012947	0.013092	0.012868	0.012949	0.012586	0.0074654	0.023217	0.015338	0.010981	0.0052065	0.012188	0.013122	0.012959	0.01026	0.016193	0.0087942	0.012522	0.012419	0.012976	0.012387	0.012562	0.012062	0.012413	0.012435	0.012126	0.012522	0.012327	0.012631	0.012491	0.012712	0.01251	0.012319	0.012559	0.01269	0.012812	0.013034	0.0099882	0.012666	0.012723	0.01254	0.012552	0.012706	0.012987	0.012725	0.012545	0.012425	0.0097758	0.012373	0.011994	0.010214	0.010803	0.011842	0.0087383	0.0093536	0.012469	0.018482	0.0079599	0.017502	0.015333	0.012333	0.011978	0.0087383	0.01255	0.012508	0.012455	0.012603	0.012421	0.012037	0.01261	
FCER1A	0.0090687	0.0043993	0.0067758	0.003828	0.0063495	0.0094448	0.0099755	0.010069	0.010097	0.010123	0.010351	0.011035	0.010121	0.0089627	0.010364	0.010191	0.01018	0.010328	0.0057834	0.0065856	0.0072629	0.0092568	0.0040276	0.0085067	0.010004	0.0098203	0.0050807	0.0087942	0.18798	0.01031	0.010539	0.010117	0.01021	0.010363	0.0095298	0.010219	0.010403	0.010103	0.012168	0.011667	0.011004	0.010074	0.0084554	0.010132	0.0089736	0.010461	0.010426	0.010563	0.010262	0.0065856	0.010363	0.010565	0.015417	0.013287	0.0099094	0.0099872	0.010313	0.010607	0.0098523	0.0050545	0.010429	0.0093887	0.0065441	0.080383	0.0090054	0.0042661	0.0026516	0.010035	0.0054323	0.005224	0.0077828	0.0096673	0.0096294	0.010514	0.0042661	0.010169	0.010109	0.010496	0.010394	0.010468	0.010185	0.010274	
FOXP3	0.012509	0.0092325	0.010966	0.007702	0.011251	0.013263	0.012746	0.012917	0.012864	0.01303	0.012954	0.013044	0.012856	0.013193	0.012941	0.013042	0.013	0.013062	0.0090592	0.011184	0.010687	0.011552	0.0061877	0.01321	0.012738	0.013079	0.0094147	0.012522	0.01031	0.013107	0.013122	0.012908	0.013289	0.013028	0.013286	0.01296	0.013058	0.012794	0.012772	0.013111	0.013052	0.012959	0.012895	0.012876	0.013196	0.013044	0.013016	0.013007	0.012921	0.011994	0.013013	0.013034	0.012905	0.012922	0.012735	0.012989	0.012807	0.012812	0.012578	0.0093626	0.013203	0.01244	0.011664	0.011882	0.014097	0.0084898	0.0055825	0.013097	0.0099999	0.0097198	0.011929	0.012653	0.013282	0.013233	0.0084898	0.012975	0.012807	0.013081	0.012941	0.013452	0.013855	0.01306	
GATA3	0.012415	0.0084852	0.010893	0.0072912	0.011054	0.013338	0.012733	0.012866	0.012844	0.012981	0.012924	0.013042	0.012842	0.012948	0.012911	0.013014	0.012957	0.013046	0.0091132	0.010893	0.010547	0.011396	0.0057758	0.012755	0.012718	0.012964	0.0091664	0.012419	0.010539	0.013122	0.013528	0.012879	0.01333	0.013062	0.013255	0.012967	0.013121	0.012801	0.012806	0.013181	0.013098	0.013034	0.012971	0.012982	0.014193	0.013138	0.013075	0.013011	0.012902	0.011773	0.01316	0.012989	0.012985	0.01295	0.012848	0.012953	0.012807	0.01275	0.012536	0.0090929	0.013841	0.01239	0.011179	0.012039	0.013577	0.0087726	0.0053667	0.013142	0.0096356	0.0097147	0.011768	0.012591	0.01347	0.015795	0.0087726	0.012943	0.012842	0.013206	0.012955	0.013328	0.013481	0.013022	
GPR44	0.022536	0.008134	0.011028	0.0067075	0.010701	0.012895	0.012884	0.012845	0.012814	0.012997	0.013639	0.013299	0.012962	0.013696	0.013221	0.013161	0.013321	0.012856	0.0084425	0.011856	0.010693	0.011197	0.0055036	0.012706	0.012752	0.013004	0.0098112	0.012976	0.010117	0.012908	0.012879	0.014962	0.012826	0.012878	0.012863	0.01277	0.012912	0.013225	0.012716	0.013045	0.012959	0.012782	0.012816	0.01278	0.012724	0.012909	0.012895	0.012902	0.012884	0.010495	0.012867	0.012892	0.012849	0.013309	0.012754	0.013034	0.012731	0.012701	0.012484	0.0094508	0.012862	0.01219	0.011097	0.01183	0.012498	0.0087247	0.0052139	0.012811	0.010419	0.0092336	0.012364	0.012854	0.01297	0.012622	0.0087247	0.012827	0.01281	0.012924	0.012796	0.012834	0.012601	0.012839	
ICOS	0.012087	0.0081065	0.010756	0.0073359	0.011115	0.013624	0.012733	0.012929	0.012884	0.013065	0.012911	0.01304	0.012878	0.012983	0.012933	0.013052	0.012988	0.013257	0.0087022	0.010769	0.010444	0.011432	0.0057528	0.012948	0.012752	0.013046	0.0089951	0.012387	0.01021	0.013289	0.01333	0.012826	0.0137	0.013158	0.013282	0.013097	0.013157	0.012786	0.012811	0.013172	0.013122	0.013036	0.012831	0.012948	0.013322	0.013177	0.013076	0.013115	0.012965	0.011689	0.01308	0.013141	0.013011	0.012964	0.012808	0.012993	0.012851	0.012818	0.012578	0.008956	0.013539	0.012447	0.011243	0.011808	0.015427	0.0085279	0.0051164	0.013086	0.0095539	0.009561	0.011708	0.012592	0.0134	0.013914	0.0085279	0.013013	0.012876	0.01324	0.01301	0.013988	0.015036	0.013183	
IFNG	0.012511	0.0089053	0.011271	0.0086672	0.011147	0.013153	0.012752	0.012867	0.012834	0.012972	0.012921	0.013	0.012838	0.013074	0.012908	0.012989	0.012953	0.012994	0.009021	0.011356	0.010734	0.011679	0.0066309	0.013051	0.012738	0.01307	0.0099494	0.012562	0.010363	0.013028	0.013062	0.012878	0.013158	0.012985	0.013398	0.012907	0.013027	0.012747	0.012753	0.013275	0.013027	0.012914	0.012991	0.012857	0.013172	0.012991	0.013002	0.012962	0.012897	0.011735	0.012985	0.012994	0.012868	0.012901	0.012707	0.012968	0.012786	0.012817	0.012611	0.0099328	0.01313	0.012505	0.011597	0.011923	0.013651	0.0084047	0.0056056	0.01305	0.010369	0.0096167	0.012049	0.012672	0.013191	0.01318	0.0084047	0.012918	0.012762	0.013019	0.012917	0.013287	0.013513	0.01299	
IFNGR2	0.013456	0.013619	0.010366	0.0071303	0.011278	0.01319	0.012619	0.012825	0.01292	0.012912	0.012802	0.012988	0.012837	0.012568	0.012855	0.012944	0.012849	0.013052	0.0097785	0.010171	0.010428	0.011058	0.0050086	0.012226	0.012691	0.012677	0.0083172	0.012062	0.0095298	0.013286	0.013255	0.012863	0.013282	0.013398	0.022239	0.01353	0.014496	0.01399	0.013197	0.013405	0.013191	0.013068	0.012386	0.013131	0.013064	0.013259	0.013027	0.013052	0.012875	0.010683	0.013056	0.012843	0.012916	0.013047	0.012692	0.012816	0.012828	0.012578	0.012427	0.0082626	0.013203	0.012459	0.01101	0.011751	0.01364	0.0072427	0.0050927	0.012991	0.0088722	0.0098099	0.011281	0.012321	0.013668	0.012614	0.0072427	0.012863	0.012927	0.013406	0.013083	0.013192	0.0131	0.012933	
IL10	0.012452	0.0092431	0.011026	0.009086	0.013239	0.013073	0.012633	0.01286	0.012822	0.012872	0.012805	0.012888	0.012746	0.01291	0.012807	0.012882	0.012844	0.01292	0.010308	0.011194	0.010681	0.011564	0.0065446	0.012809	0.012642	0.012933	0.0095745	0.012413	0.010219	0.01296	0.012967	0.01277	0.013097	0.012907	0.01353	0.012935	0.012985	0.012714	0.012707	0.013002	0.012923	0.012828	0.01269	0.012775	0.013024	0.012903	0.01286	0.012871	0.012795	0.011749	0.012874	0.012872	0.012769	0.0128	0.012604	0.012842	0.012699	0.012688	0.01249	0.009566	0.013016	0.012462	0.013206	0.011794	0.013754	0.0083087	0.0056293	0.012932	0.010255	0.011747	0.011902	0.012534	0.013083	0.012948	0.0083087	0.012813	0.012801	0.012943	0.012835	0.013185	0.013472	0.012888	
IL12A	0.012864	0.010844	0.011081	0.0074927	0.011366	0.01321	0.012712	0.012841	0.012832	0.012943	0.012908	0.01301	0.012817	0.012976	0.012892	0.012976	0.012932	0.012982	0.0095858	0.011035	0.010696	0.011411	0.0058514	0.012784	0.012702	0.012957	0.0095072	0.012435	0.010403	0.013058	0.013121	0.012912	0.013157	0.013027	0.014496	0.012985	0.013237	0.013004	0.012821	0.013189	0.013054	0.012947	0.012907	0.012909	0.013299	0.013041	0.013008	0.012964	0.012872	0.011784	0.01301	0.012942	0.012868	0.012926	0.012718	0.012928	0.012777	0.012733	0.012533	0.0094452	0.013178	0.012392	0.011452	0.011985	0.013444	0.0085953	0.0056245	0.013042	0.0098001	0.010096	0.011817	0.012579	0.013315	0.013168	0.0085953	0.012902	0.012806	0.013095	0.012925	0.013215	0.013297	0.012957	
IL12B	0.016595	0.03078	0.010769	0.0073292	0.010909	0.012817	0.012433	0.012525	0.012585	0.012617	0.01267	0.012706	0.012542	0.012608	0.012631	0.012654	0.012667	0.01266	0.0089687	0.010717	0.010323	0.011087	0.005716	0.01235	0.012454	0.012672	0.0092545	0.012126	0.010103	0.012794	0.012801	0.013225	0.012786	0.012747	0.01399	0.012714	0.013004	0.014079	0.012546	0.012851	0.012717	0.012675	0.012457	0.012672	0.012833	0.012798	0.012643	0.012656	0.012561	0.011294	0.012659	0.012619	0.012596	0.012847	0.012441	0.012628	0.012475	0.012417	0.012216	0.0091817	0.012795	0.012082	0.011162	0.011724	0.012899	0.0081419	0.0052963	0.012748	0.009853	0.0095139	0.011568	0.01225	0.013188	0.012668	0.0081419	0.012587	0.012546	0.012872	0.012601	0.012796	0.012776	0.012606	
IL13	0.012391	0.0086942	0.010946	0.0084048	0.011895	0.012847	0.01257	0.012678	0.012634	0.012752	0.012792	0.012861	0.012651	0.01287	0.012741	0.012776	0.012752	0.012733	0.014459	0.011962	0.011783	0.011418	0.0063494	0.012763	0.012549	0.012824	0.009596	0.012522	0.012168	0.012772	0.012806	0.012716	0.012811	0.012753	0.013197	0.012707	0.012821	0.012546	0.012784	0.013169	0.012855	0.012687	0.012747	0.012646	0.012874	0.012766	0.012802	0.012756	0.012698	0.011419	0.012776	0.012735	0.012711	0.012762	0.012499	0.012755	0.012633	0.012583	0.012371	0.0095101	0.01282	0.012271	0.011626	0.013016	0.012847	0.0082122	0.008643	0.012758	0.010311	0.01263	0.012047	0.012594	0.01287	0.012716	0.0082122	0.01269	0.012714	0.012785	0.012704	0.01287	0.012857	0.012758	
IL13RA1	0.012984	0.0076542	0.010322	0.006758	0.011262	0.013179	0.012736	0.012904	0.012865	0.01302	0.013067	0.013336	0.012874	0.013061	0.013048	0.01307	0.013022	0.01306	0.010253	0.010695	0.01092	0.01141	0.005621	0.012514	0.012739	0.013152	0.008467	0.012327	0.011667	0.013111	0.013181	0.013045	0.013172	0.013275	0.013405	0.013002	0.013189	0.012851	0.013169	0.020777	0.013349	0.012922	0.012419	0.012909	0.012848	0.013128	0.013087	0.013112	0.012963	0.010513	0.013063	0.013075	0.013156	0.013463	0.012692	0.013066	0.012903	0.012887	0.012532	0.0083829	0.013239	0.012365	0.010961	0.013186	0.013087	0.0071924	0.0058164	0.012908	0.0090804	0.010515	0.011511	0.01254	0.01319	0.012935	0.0071924	0.012938	0.013165	0.013176	0.013021	0.013246	0.013091	0.013014	
IL13RA2	0.0125	0.0077727	0.010984	0.0075777	0.011065	0.013165	0.012831	0.012919	0.01288	0.013031	0.013014	0.013114	0.012903	0.013068	0.012989	0.013058	0.013023	0.013026	0.0095621	0.011404	0.011038	0.011774	0.0065383	0.012979	0.012789	0.013214	0.0094214	0.012631	0.011004	0.013052	0.013098	0.012959	0.013122	0.013027	0.013191	0.012923	0.013054	0.012717	0.012855	0.013349	0.013273	0.012971	0.013491	0.012914	0.013358	0.013051	0.013232	0.013049	0.012983	0.011274	0.013139	0.013083	0.012947	0.013002	0.012753	0.013092	0.012888	0.01294	0.012655	0.0093647	0.013123	0.012483	0.011298	0.012421	0.013172	0.0079735	0.00618	0.01307	0.0099767	0.0098832	0.012019	0.012766	0.013191	0.012971	0.0079735	0.012962	0.012833	0.013058	0.013017	0.013253	0.01323	0.013056	
IL17A	0.012272	0.0089094	0.011207	0.0089929	0.010944	0.013102	0.012746	0.012806	0.012791	0.01291	0.012835	0.012909	0.012791	0.013023	0.012841	0.012941	0.012901	0.012917	0.0088491	0.011238	0.010616	0.011583	0.0064528	0.01302	0.012697	0.01301	0.0098745	0.012491	0.010074	0.012959	0.013034	0.012782	0.013036	0.012914	0.013068	0.012828	0.012947	0.012675	0.012687	0.012922	0.012971	0.013084	0.013739	0.012839	0.013534	0.012955	0.013062	0.012911	0.012848	0.016637	0.01301	0.012927	0.012797	0.01282	0.012688	0.012931	0.012748	0.01276	0.012564	0.0097793	0.01303	0.012504	0.011404	0.01169	0.013174	0.0084615	0.0055016	0.013162	0.010328	0.0094223	0.011993	0.012605	0.013212	0.013026	0.0084615	0.013082	0.012684	0.012977	0.012874	0.013098	0.013159	0.012953	
IL17RB	0.011135	0.006549	0.011328	0.0063087	0.0093194	0.012839	0.013906	0.012844	0.012829	0.012991	0.012869	0.012868	0.012923	0.012467	0.012911	0.013083	0.012948	0.012834	0.0072252	0.010914	0.010019	0.010879	0.0047838	0.012369	0.012748	0.012522	0.010646	0.012712	0.0084554	0.012895	0.012971	0.012816	0.012831	0.012991	0.012386	0.01269	0.012907	0.012457	0.012747	0.012419	0.013491	0.013739	0.035146	0.012925	0.013595	0.013101	0.016394	0.01294	0.012905	0.012035	0.013649	0.012713	0.012807	0.012721	0.013303	0.013005	0.012938	0.01245	0.012552	0.0096387	0.012847	0.012229	0.0099219	0.010667	0.01215	0.0095518	0.0042709	0.013192	0.0096283	0.0075823	0.012178	0.012808	0.013063	0.012507	0.0095518	0.012832	0.012592	0.012918	0.012961	0.012615	0.012328	0.013224	
IL18	0.012393	0.0094698	0.013328	0.0077509	0.011091	0.013003	0.012787	0.012758	0.012748	0.012843	0.012806	0.012867	0.012759	0.012853	0.012802	0.01287	0.012841	0.012852	0.0090736	0.011316	0.010682	0.011492	0.0062258	0.01275	0.012721	0.012912	0.012989	0.01251	0.010132	0.012876	0.012982	0.01278	0.012948	0.012857	0.013131	0.012775	0.012909	0.012672	0.012646	0.012909	0.012914	0.012839	0.012925	0.012938	0.013791	0.012881	0.012916	0.012839	0.012802	0.011621	0.012996	0.012868	0.012743	0.012776	0.012684	0.012867	0.012696	0.012702	0.012717	0.012963	0.012974	0.012334	0.011505	0.011711	0.013039	0.0086526	0.0056927	0.012916	0.010552	0.0096474	0.012064	0.012605	0.013054	0.012966	0.0086526	0.012794	0.01265	0.012902	0.012819	0.013007	0.013027	0.012851	
IL1RL1	0.011512	0.0074917	0.011673	0.0066059	0.010025	0.013291	0.012872	0.012944	0.012923	0.013013	0.012854	0.01299	0.012934	0.012595	0.012897	0.013061	0.012938	0.013095	0.0077788	0.010356	0.010055	0.011031	0.0048893	0.012508	0.012825	0.012698	0.009683	0.012319	0.0089736	0.013196	0.014193	0.012724	0.013322	0.013172	0.013064	0.013024	0.013299	0.012833	0.012874	0.012848	0.013358	0.013534	0.013595	0.013791	0.022408	0.013297	0.013443	0.013068	0.012926	0.01221	0.014412	0.012907	0.012975	0.012915	0.013142	0.01293	0.012897	0.012611	0.012567	0.0095159	0.013666	0.012383	0.010426	0.011121	0.012932	0.0094139	0.004391	0.013178	0.0093319	0.0082743	0.011657	0.012538	0.013678	0.014269	0.0094139	0.01297	0.012831	0.013367	0.013078	0.013086	0.012939	0.013173	
IL21	0.012632	0.0094145	0.011148	0.0074683	0.011004	0.013291	0.01276	0.012864	0.012828	0.012986	0.012934	0.013017	0.012843	0.013053	0.01292	0.012999	0.012965	0.013004	0.0091034	0.011319	0.01078	0.011565	0.0062473	0.013074	0.012745	0.013119	0.0096663	0.012559	0.010461	0.013044	0.013138	0.012909	0.013177	0.012991	0.013259	0.012903	0.013041	0.012798	0.012766	0.013128	0.013051	0.012955	0.013101	0.012881	0.013297	0.013036	0.013043	0.012983	0.012912	0.012109	0.01302	0.013014	0.01289	0.012926	0.012747	0.013	0.0128	0.012816	0.012586	0.0096116	0.013249	0.012403	0.011267	0.011994	0.013433	0.0086231	0.0057473	0.01309	0.010292	0.0096434	0.012027	0.012679	0.013283	0.013517	0.0086231	0.01296	0.012782	0.013071	0.012922	0.013274	0.013404	0.013008	
IL25	0.012045	0.0075846	0.011302	0.0071571	0.010534	0.01312	0.01299	0.012916	0.012856	0.013049	0.012986	0.013051	0.0129	0.01297	0.012966	0.013056	0.013006	0.012987	0.0089016	0.011465	0.010856	0.011593	0.0062468	0.013224	0.012785	0.013045	0.010094	0.01269	0.010426	0.013016	0.013075	0.012895	0.013076	0.013002	0.013027	0.01286	0.013008	0.012643	0.012802	0.013087	0.013232	0.013062	0.016394	0.012916	0.013443	0.013043	0.013643	0.013009	0.012957	0.011375	0.013202	0.013	0.012904	0.012912	0.012854	0.013051	0.012873	0.012831	0.012644	0.0098001	0.013091	0.012403	0.011001	0.011969	0.013053	0.008851	0.005774	0.013077	0.010173	0.0091211	0.012149	0.012794	0.013161	0.012997	0.008851	0.01294	0.012759	0.013021	0.012976	0.013147	0.013152	0.013101	
IL2RA	0.012422	0.0079963	0.011163	0.0076721	0.010981	0.013155	0.012793	0.012866	0.012828	0.012983	0.012981	0.013025	0.012877	0.013095	0.012955	0.013003	0.012984	0.013003	0.0090215	0.012069	0.011073	0.011725	0.006571	0.013026	0.012798	0.013372	0.0097324	0.012812	0.010563	0.013007	0.013011	0.012902	0.013115	0.012962	0.013052	0.012871	0.012964	0.012656	0.012756	0.013112	0.013049	0.012911	0.01294	0.012839	0.013068	0.012983	0.013009	0.013008	0.012968	0.012065	0.012986	0.0131	0.01288	0.01293	0.012728	0.013095	0.012825	0.012915	0.012639	0.0097084	0.013057	0.012432	0.011306	0.012062	0.013358	0.0085396	0.005986	0.013016	0.010802	0.009568	0.012372	0.012889	0.013111	0.012951	0.0085396	0.012969	0.012761	0.012992	0.012926	0.01333	0.013432	0.013001	
IL3	0.012254	0.007663	0.01156	0.0080038	0.010762	0.013027	0.012833	0.012848	0.012811	0.012961	0.013002	0.012992	0.012888	0.013118	0.01296	0.012983	0.012979	0.012935	0.0086132	0.012701	0.011204	0.011982	0.0073819	0.013102	0.01284	0.013552	0.010443	0.013034	0.010262	0.012921	0.012902	0.012884	0.012965	0.012897	0.012875	0.012795	0.012872	0.012561	0.012698	0.012963	0.012983	0.012848	0.012905	0.012802	0.012926	0.012912	0.012957	0.012968	0.012985	0.011773	0.012934	0.013105	0.012827	0.012887	0.012711	0.01314	0.012818	0.012982	0.012716	0.010492	0.012919	0.01246	0.011352	0.011848	0.012993	0.0085396	0.0059253	0.012982	0.011494	0.0091352	0.012739	0.013037	0.012988	0.012738	0.0085396	0.012946	0.012693	0.012901	0.012895	0.013136	0.013092	0.012951	
IL31	0.0088515	0.0053664	0.0083121	0.0054176	0.0075962	0.012392	0.01129	0.01129	0.011541	0.011421	0.010664	0.010926	0.011425	0.012356	0.011189	0.011646	0.011615	0.011686	0.0055836	0.0075252	0.0079017	0.0095843	0.0039109	0.012832	0.011536	0.012625	0.0063692	0.0099882	0.0065856	0.011994	0.011773	0.010495	0.011689	0.011735	0.010683	0.011749	0.011784	0.011294	0.011419	0.010513	0.011274	0.016637	0.012035	0.011621	0.01221	0.012109	0.011375	0.012065	0.011773	0.15396	0.011765	0.012051	0.011469	0.011549	0.011339	0.012133	0.011759	0.011915	0.011406	0.0064369	0.011074	0.011294	0.0078674	0.0087733	0.010525	0.0054014	0.0029744	0.013274	0.0068591	0.0059319	0.0091894	0.01045	0.012449	0.0099506	0.0054014	0.017987	0.011228	0.012197	0.011764	0.011177	0.01061	0.01218	
IL33	0.01209	0.0077936	0.011595	0.0074208	0.010859	0.013114	0.012857	0.012934	0.012866	0.013037	0.012967	0.013033	0.012888	0.01301	0.012947	0.013035	0.012992	0.012985	0.0089344	0.011458	0.010731	0.011515	0.0060129	0.013336	0.012799	0.013051	0.010365	0.012666	0.010363	0.013013	0.01316	0.012867	0.01308	0.012985	0.013056	0.012874	0.01301	0.012659	0.012776	0.013063	0.013139	0.01301	0.013649	0.012996	0.014412	0.01302	0.013202	0.012986	0.012934	0.011765	0.013241	0.01299	0.012882	0.012896	0.012806	0.013014	0.012828	0.012807	0.012641	0.010172	0.01311	0.01241	0.011523	0.011917	0.013081	0.0087885	0.0054557	0.013055	0.010716	0.0092934	0.012219	0.012756	0.01318	0.013067	0.0087885	0.012947	0.01276	0.013028	0.012954	0.013145	0.013155	0.013064	
