       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
RORC   	0.012533	0.011929	0.011347	0.0078475	0.010154	0.013387	0.012717	0.012777	0.012833	0.012947	0.012769	0.012963	0.01278	0.012861	0.01282	0.01298	0.012905	0.013024	0.0093086	0.0096967	0.010962	0.011699	0.0087527	0.012686	0.012669	0.012868	0.010317	0.01177	0.0095609	0.013164	0.013363	0.01282	0.013288	0.013066	0.01358	0.012951	0.013213	0.013094	0.012803	0.01309	0.013077	0.013098	0.012973	0.012984	0.013592	0.013168	0.013055	0.012964	0.012789	0.012361	0.013073	0.012868	0.012875	0.012889	0.012694	0.012898	0.012784	0.012229	0.012302	0.0093142	0.013432	0.012567	0.010097	0.011507	0.013507	0.0076792	0.0066471	0.013978	0.010179	0.0093022	0.011515	0.012072	0.014267	0.013681	0.0076792	0.012953	0.012785	0.013265	0.012955	0.013313	0.013356	0.01298                                                                 
SATB1  	0.010317	0.0080598	0.010846	0.0056731	0.0091808	0.013375	0.012401	0.012504	0.01249	0.012705	0.012605	0.012858	0.012524	0.01217	0.012577	0.012754	0.012634	0.012862	0.0081422	0.0090613	0.010476	0.011077	0.0079169	0.011695	0.012393	0.012149	0.0094422	0.01137	0.010447	0.013122	0.015691	0.012417	0.013812	0.013058	0.012536	0.012823	0.013072	0.012594	0.01265	0.012838	0.012859	0.012916	0.012417	0.012893	0.014185	0.013405	0.012894	0.012801	0.012535	0.0098696	0.012962	0.012567	0.013353	0.012738	0.013262	0.012504	0.012567	0.011783	0.011915	0.0084396	0.018424	0.011885	0.0089718	0.011688	0.013045	0.009569	0.0060249	0.012664	0.0094706	0.0082293	0.011077	0.01178	0.013681	0.037107	0.009569	0.012572	0.012823	0.013636	0.012713	0.013077	0.013051	0.012759                                                           
SIGLEC8	0.0059038	0.0042289	0.0080583	0.0028617	0.0048646	0.0089517	0.008433	0.0083505	0.0082932	0.0085644	0.0088318	0.0088636	0.0084823	0.0073873	0.0085547	0.008666	0.0086375	0.0084098	0.0041753	0.0059237	0.0067051	0.0062138	0.0038267	0.0069833	0.0082937	0.0074765	0.0060711	0.008141	0.0042337	0.0084302	0.0087174	0.0086025	0.0084743	0.008336	0.007206	0.0082418	0.0085441	0.0080997	0.008191	0.0071476	0.0079178	0.0083987	0.0094953	0.0085992	0.0093639	0.0085614	0.0087942	0.008449	0.0084054	0.0053614	0.0087265	0.0083375	0.0082325	0.0081823	0.016032	0.0086306	0.0082936	0.007098	0.0079802	0.0054397	0.0089877	0.007288	0.0048998	0.0058172	0.0070802	0.011006	0.0035858	0.0073252	0.0061925	0.004182	0.0080358	0.0082799	0.0076792	0.009569	0.37889	0.0081892	0.0082188	0.0085801	0.0084592	0.0075202	0.0070933	0.0084482
STAT5A 	0.011228	0.0093524	0.011874	0.0076204	0.01022	0.013011	0.012617	0.012709	0.01262	0.012895	0.012679	0.012818	0.012653	0.013396	0.012743	0.012869	0.01284	0.012785	0.0095092	0.010478	0.011321	0.012383	0.011338	0.014017	0.012617	0.013307	0.011325	0.012019	0.010041	0.012816	0.012786	0.012556	0.012856	0.012758	0.012724	0.012649	0.012756	0.012479	0.012584	0.01278	0.012802	0.012928	0.012687	0.01269	0.012829	0.012804	0.012789	0.012784	0.012735	0.017836	0.012794	0.012882	0.012668	0.012685	0.012516	0.012937	0.012688	0.012632	0.012454	0.010709	0.012783	0.012325	0.010251	0.011636	0.012935	0.0081892	0.007738	0.012971	0.011009	0.0095018	0.011831	0.012191	0.012953	0.012572	0.0081892	0.013115	0.012572	0.01281	0.01272	0.012942	0.012972	0.012919                                                                    
STAT6  	0.011743	0.01026	0.011378	0.007145	0.013774	0.012859	0.012493	0.012727	0.012634	0.01271	0.012704	0.012794	0.012553	0.013142	0.012668	0.012754	0.01272	0.012661	0.013793	0.011112	0.011751	0.011537	0.0091851	0.012769	0.012469	0.012637	0.010616	0.012144	0.010045	0.012707	0.012741	0.012608	0.012774	0.01266	0.012846	0.012685	0.012713	0.012501	0.012632	0.01305	0.012723	0.012591	0.012525	0.012591	0.012759	0.012681	0.012668	0.012637	0.012542	0.01115	0.012676	0.012544	0.012551	0.012569	0.012419	0.012626	0.012524	0.012025	0.012095	0.0097869	0.012805	0.012073	0.013652	0.011617	0.012897	0.0082188	0.0092663	0.012629	0.011359	0.014064	0.012005	0.012249	0.012785	0.012823	0.0082188	0.012572	0.012754	0.012713	0.012576	0.012801	0.012862	0.012683                                                                    
TBX21  	0.012124	0.011026	0.011578	0.0073889	0.010791	0.01326	0.012622	0.012712	0.012685	0.012848	0.012748	0.012903	0.012683	0.012926	0.012756	0.012871	0.012823	0.012895	0.010129	0.010254	0.011252	0.011776	0.0093534	0.012803	0.012602	0.012897	0.010729	0.011942	0.010419	0.012958	0.01309	0.01273	0.01312	0.012891	0.013311	0.012808	0.012987	0.012791	0.012707	0.013063	0.012937	0.012859	0.01282	0.012821	0.013271	0.012951	0.012909	0.012844	0.01271	0.012101	0.012915	0.012807	0.012772	0.012781	0.012625	0.012832	0.012686	0.012254	0.012291	0.0099074	0.013233	0.012299	0.010708	0.011928	0.013416	0.0085801	0.0074872	0.013006	0.010708	0.010144	0.011735	0.012162	0.013265	0.013636	0.0085801	0.01281	0.012713	0.013008	0.01279	0.013209	0.01336	0.01288                                                                       
TGFB1  	0.011199	0.0093509	0.01234	0.010886	0.01067	0.012891	0.012642	0.012635	0.012642	0.012758	0.012681	0.012799	0.012663	0.012806	0.012693	0.012783	0.012745	0.012779	0.010066	0.010683	0.011454	0.012374	0.010653	0.012699	0.012615	0.012931	0.012021	0.012109	0.010274	0.012792	0.01281	0.012552	0.012862	0.012769	0.012955	0.01268	0.012792	0.012496	0.012612	0.012876	0.01287	0.012732	0.012834	0.012733	0.012953	0.012778	0.012839	0.012754	0.012697	0.011623	0.012816	0.012796	0.012665	0.012654	0.012529	0.012811	0.012668	0.012504	0.012576	0.011629	0.012836	0.012623	0.010685	0.011777	0.013038	0.0084592	0.007938	0.012946	0.011225	0.010012	0.011959	0.012266	0.012955	0.012713	0.0084592	0.01272	0.012576	0.01279	0.012777	0.012971	0.013005	0.012771                                                                       
TNFRSF4	0.01087	0.0087709	0.011309	0.0070556	0.0099749	0.013579	0.012644	0.012824	0.01277	0.013029	0.012707	0.012928	0.012787	0.012749	0.012805	0.012964	0.012878	0.013417	0.0090144	0.0097313	0.010966	0.011901	0.0094332	0.012856	0.012711	0.013182	0.010272	0.011767	0.010222	0.013392	0.013224	0.012556	0.014035	0.013183	0.013137	0.013093	0.013117	0.012708	0.01278	0.013094	0.013097	0.012969	0.012444	0.012923	0.012954	0.013153	0.013002	0.013166	0.012892	0.010994	0.013003	0.013278	0.013005	0.012883	0.012681	0.012972	0.012835	0.012445	0.012353	0.0093528	0.013377	0.01242	0.0098541	0.011756	0.016725	0.0075202	0.0066881	0.012961	0.010221	0.0090371	0.011508	0.012112	0.013313	0.013077	0.0075202	0.012942	0.012801	0.013209	0.012971	0.01516	0.016724	0.013265                                                            
TNFSF4 	0.010342	0.008071	0.010858	0.0065757	0.0097097	0.013885	0.012571	0.012915	0.012782	0.013173	0.01259	0.012856	0.012786	0.012509	0.012753	0.012971	0.012846	0.013843	0.0086265	0.0091285	0.010596	0.011527	0.0085152	0.013363	0.012679	0.012851	0.0095914	0.011459	0.010132	0.01371	0.013365	0.012406	0.014873	0.01337	0.013001	0.01329	0.01319	0.012693	0.012795	0.012995	0.013123	0.013044	0.012245	0.012962	0.012858	0.013289	0.013051	0.013319	0.012894	0.01053	0.013053	0.013401	0.01316	0.012871	0.012699	0.012842	0.012847	0.01224	0.012202	0.0085444	0.01358	0.012375	0.0095519	0.011599	0.019496	0.0070933	0.0060234	0.012868	0.0096046	0.008673	0.01115	0.011913	0.013356	0.013051	0.0070933	0.012972	0.012862	0.01336	0.013005	0.016724	0.020605	0.013678                                                                  
TSLP   	0.011076	0.0090912	0.011634	0.0072304	0.010709	0.013057	0.01268	0.012915	0.012698	0.013119	0.012767	0.012893	0.012724	0.013037	0.012799	0.012926	0.012883	0.012912	0.010098	0.010659	0.011474	0.011907	0.0097449	0.015287	0.012646	0.012978	0.010892	0.012124	0.010187	0.012929	0.012898	0.012609	0.013057	0.012854	0.012831	0.012747	0.012842	0.01252	0.012678	0.012894	0.012927	0.012826	0.013114	0.012764	0.013067	0.01288	0.01298	0.012846	0.012755	0.012074	0.01294	0.012845	0.012748	0.012705	0.012606	0.012877	0.012723	0.012346	0.012343	0.010068	0.01293	0.012276	0.010796	0.011721	0.013481	0.0084482	0.0079966	0.012884	0.011151	0.010092	0.011954	0.012292	0.01298	0.012759	0.0084482	0.012919	0.012683	0.01288	0.012771	0.013265	0.013678	0.013156                                                                     
