       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CLC    	0.0086745	0.0055812	0.009178	0.0041592	0.0091055	0.0098161	0.011626	0.010575	0.010481	0.010491	0.011803	0.010381	0.011323	0.010027	0.01167	0.010454	0.010717	0.010395	0.0041336	0.0073963	0.039283	0.03018	0.0088187	0.0077548	0.0089908	0.012009	0.010417	0.0087035	0.022284	0.0081562	0.010235	0.010036	0.010582	0.0099647	0.010338	0.0095805	0.010287	0.0098643	0.01002	0.010832	0.0097777	0.010429	0.01019	0.00984	0.010449	0.010298	0.010226	0.010433	0.010952	0.011867	0.0067888	0.010588	0.010405	0.010441	0.010307	0.011394	0.010965	0.011246	0.0096749	0.010146	0.0080352	0.0098391	0.0097094	0.009996	0.0087909	0.0095999	0.033083	0.066936	0.0098059	0.034809	0.0092111	0.022207	0.018361	0.0095039	0.0095428	0.0061845	0.010193	0.010853	0.010002	0.010422	0.010064	0.0096835	0.010429                                                  
CLCA1  	0.0095045	0.0067639	0.0097935	0.0051595	0.010315	0.010693	0.0117	0.011121	0.01102	0.01107	0.011855	0.011044	0.011555	0.010853	0.011756	0.011047	0.01119	0.010999	0.0052785	0.009261	0.03018	0.02655	0.0099259	0.0091298	0.010105	0.01189	0.010953	0.0095264	0.018082	0.0094684	0.010922	0.010808	0.01108	0.010766	0.010977	0.010645	0.010945	0.010686	0.0107	0.011354	0.010728	0.011081	0.010855	0.010551	0.011021	0.01096	0.010923	0.011057	0.011334	0.011864	0.0080525	0.011128	0.010961	0.011011	0.010939	0.011502	0.011326	0.011643	0.010483	0.010745	0.0089659	0.01071	0.010422	0.010769	0.0099389	0.01053	0.022057	0.059182	0.010623	0.02383	0.010364	0.018371	0.015567	0.010485	0.010545	0.0063642	0.01084	0.011396	0.010749	0.011014	0.010805	0.010596	0.011037                                                                             
CMA1   	0.010577	0.0077519	0.011403	0.011045	0.011351	0.011812	0.011914	0.012019	0.012174	0.011957	0.011805	0.011936	0.01205	0.011615	0.012017	0.011944	0.011947	0.012134	0.0060269	0.0096709	0.0088187	0.0099259	0.019588	0.025427	0.011222	0.01212	0.012231	0.011907	0.01069	0.022504	0.012119	0.012125	0.011792	0.011991	0.012148	0.01215	0.012162	0.013398	0.011962	0.012172	0.012016	0.012169	0.012012	0.011095	0.012098	0.011834	0.012079	0.012023	0.012148	0.012263	0.0095654	0.012033	0.012822	0.012685	0.012471	0.011857	0.01212	0.01255	0.016639	0.01366	0.011896	0.011918	0.012754	0.01215	0.019283	0.011764	0.0092989	0.0059806	0.012199	0.0092635	0.01127	0.010729	0.011212	0.01193	0.011666	0.0062267	0.012243	0.011976	0.012137	0.012276	0.012102	0.011965	0.012018                                                                          
CPA3   	0.010031	0.0067692	0.010969	0.0073425	0.010594	0.011173	0.011577	0.011629	0.011927	0.011513	0.011289	0.011444	0.011744	0.01087	0.011704	0.011458	0.011497	0.011811	0.0050293	0.0085645	0.0077548	0.0091298	0.025427	0.038535	0.010329	0.011933	0.011938	0.011867	0.0099763	0.03088	0.011775	0.011782	0.011296	0.011499	0.011849	0.011742	0.011866	0.014108	0.011661	0.011993	0.01156	0.011841	0.011643	0.010166	0.011787	0.011242	0.011738	0.01163	0.011872	0.012175	0.0086171	0.011635	0.013091	0.012875	0.012504	0.011495	0.011799	0.012658	0.020317	0.01483	0.011995	0.011364	0.012724	0.011796	0.025137	0.011034	0.0082387	0.004823	0.011746	0.0082404	0.010534	0.010029	0.010659	0.011309	0.010948	0.0053729	0.012104	0.011586	0.011823	0.012064	0.011699	0.011394	0.011626                                                                    
CRLF2  	0.010699	0.0076124	0.010749	0.0058286	0.011798	0.012631	0.012385	0.014074	0.01254	0.014749	0.012468	0.012639	0.012522	0.013005	0.012599	0.01293	0.012981	0.012645	0.0057909	0.0099971	0.0089908	0.010105	0.011222	0.010329	0.035459	0.012346	0.012587	0.010637	0.011058	0.010809	0.012789	0.01236	0.01258	0.012496	0.012603	0.012147	0.012447	0.01223	0.012175	0.012433	0.012252	0.01251	0.012512	0.011933	0.012457	0.012331	0.012511	0.012767	0.01251	0.012406	0.012223	0.012758	0.012456	0.012475	0.012372	0.012337	0.01258	0.012502	0.011844	0.012023	0.01015	0.012267	0.011841	0.012595	0.011304	0.01244	0.0096203	0.0058284	0.012481	0.0094467	0.011691	0.011053	0.011548	0.012369	0.011878	0.0067739	0.013528	0.01252	0.012375	0.012387	0.012549	0.01278	0.014371                                                                             
CSF2   	0.011141	0.0090218	0.012475	0.0081268	0.012158	0.012387	0.012316	0.012367	0.012335	0.012367	0.012393	0.012399	0.012336	0.012443	0.012371	0.012387	0.012384	0.012342	0.0074605	0.011287	0.012009	0.01189	0.01212	0.011933	0.012346	0.012373	0.012627	0.012354	0.012389	0.012042	0.012348	0.012351	0.012268	0.012371	0.012336	0.012332	0.012327	0.012302	0.012134	0.012268	0.012341	0.012373	0.012289	0.01225	0.012357	0.012448	0.012327	0.012353	0.012367	0.012365	0.010984	0.012379	0.012406	0.012309	0.012304	0.012273	0.012449	0.012325	0.012249	0.012299	0.012312	0.012359	0.012024	0.012405	0.012146	0.012409	0.012254	0.00977	0.012344	0.012914	0.012096	0.01241	0.012363	0.012361	0.0123	0.0080482	0.012308	0.012324	0.012321	0.012325	0.012385	0.012401	0.012357                                                                             
CSF3R  	0.011103	0.0084509	0.011573	0.0064903	0.011999	0.012617	0.012429	0.012538	0.012451	0.01254	0.012449	0.012603	0.012457	0.01267	0.012578	0.01255	0.012582	0.012594	0.0067176	0.010482	0.010417	0.010953	0.012231	0.011938	0.012587	0.012627	0.016897	0.011466	0.01186	0.012063	0.012548	0.012482	0.012382	0.012534	0.012516	0.012317	0.012518	0.012409	0.012291	0.0124	0.012481	0.012619	0.012475	0.012024	0.012458	0.012516	0.012517	0.012525	0.012742	0.012805	0.011956	0.012564	0.013421	0.012497	0.012748	0.012387	0.013741	0.01256	0.012644	0.012429	0.01108	0.012401	0.012069	0.012388	0.0123	0.012513	0.010931	0.0071933	0.012525	0.011176	0.012012	0.011898	0.012152	0.012462	0.012121	0.0072487	0.012851	0.012445	0.012444	0.012521	0.012696	0.012572	0.012583                                                                               
CYSLTR1	0.010166	0.0072892	0.031508	0.0063877	0.010651	0.011714	0.012672	0.01187	0.013152	0.011789	0.011658	0.01146	0.011932	0.011175	0.011897	0.011783	0.011845	0.011837	0.0056483	0.0086789	0.0087035	0.0095264	0.011907	0.011867	0.010637	0.012354	0.011466	0.035056	0.010709	0.01116	0.01175	0.011917	0.011735	0.011693	0.011872	0.011208	0.011802	0.011701	0.011634	0.011667	0.011284	0.011642	0.01176	0.011494	0.012949	0.011842	0.011714	0.011709	0.011701	0.011884	0.0087386	0.011856	0.011984	0.011822	0.011681	0.012068	0.011786	0.011929	0.01193	0.014856	0.038942	0.011678	0.011825	0.011603	0.011342	0.011306	0.0093573	0.0055511	0.01195	0.0093555	0.010589	0.010763	0.011133	0.011745	0.011181	0.0065329	0.011734	0.011683	0.012962	0.012017	0.011595	0.011401	0.011652                                                                      
EPX    	0.01024	0.0075544	0.010974	0.0057842	0.010936	0.011477	0.012197	0.01179	0.011703	0.011763	0.012385	0.011792	0.012074	0.011726	0.012272	0.011792	0.011905	0.01169	0.0060107	0.009474	0.022284	0.018082	0.01069	0.0099763	0.011058	0.012389	0.01186	0.010709	0.0167	0.010293	0.011629	0.011541	0.011779	0.011531	0.011656	0.0113	0.011624	0.0114	0.011392	0.011776	0.011401	0.011736	0.011559	0.011566	0.011709	0.011728	0.011599	0.011737	0.011946	0.012318	0.0089643	0.011819	0.011729	0.011679	0.011621	0.0121	0.012021	0.011969	0.011216	0.011484	0.010263	0.011475	0.011136	0.011529	0.010708	0.011403	0.022027	0.025595	0.011436	0.022824	0.010948	0.016553	0.01509	0.011317	0.011319	0.0079464	0.011567	0.011833	0.011494	0.011682	0.011592	0.011432	0.01172                                                                                   
FCER1A 	0.010426	0.0074584	0.010612	0.007138	0.011139	0.011577	0.011752	0.011888	0.012049	0.011794	0.011609	0.011765	0.011938	0.011297	0.011895	0.011764	0.011774	0.012033	0.0057269	0.0093052	0.0081562	0.0094684	0.022504	0.03088	0.010809	0.012042	0.012063	0.01116	0.010293	0.027962	0.012029	0.012027	0.011611	0.011837	0.012069	0.012251	0.012095	0.01401	0.011897	0.012157	0.011904	0.012079	0.011888	0.010647	0.011987	0.011604	0.011996	0.011895	0.01207	0.012247	0.0090676	0.0119	0.012979	0.012875	0.012559	0.011717	0.011977	0.012645	0.018537	0.014086	0.010936	0.011752	0.012612	0.012175	0.022431	0.011508	0.0086765	0.0051957	0.011974	0.0086067	0.011028	0.010332	0.010928	0.011697	0.011462	0.0058053	0.012215	0.011863	0.012023	0.012204	0.011983	0.011784	0.01189                                                                       
FOXP3  	0.011372	0.0093813	0.011768	0.0076146	0.012472	0.012714	0.012347	0.012537	0.012438	0.012561	0.012468	0.012611	0.012423	0.012713	0.012434	0.012587	0.01254	0.012533	0.0077576	0.011682	0.010235	0.010922	0.012119	0.011775	0.012789	0.012348	0.012548	0.01175	0.011629	0.012029	0.012577	0.012599	0.012434	0.012671	0.012535	0.012677	0.012535	0.012496	0.012333	0.012413	0.012609	0.012564	0.012496	0.012464	0.012477	0.012612	0.012542	0.01254	0.012503	0.012385	0.011504	0.01254	0.012505	0.012468	0.012463	0.01236	0.012503	0.012419	0.012283	0.012293	0.011424	0.012687	0.012137	0.012568	0.012193	0.012905	0.010827	0.0074537	0.012593	0.010635	0.012397	0.011626	0.011935	0.012718	0.012743	0.0082691	0.012487	0.012499	0.012512	0.012486	0.012659	0.012786	0.012561                                                                          
GATA3  	0.011275	0.0090681	0.011913	0.0074566	0.012509	0.012771	0.012346	0.012521	0.012454	0.012531	0.012468	0.01258	0.012427	0.012588	0.012422	0.012572	0.012519	0.012549	0.0073936	0.011745	0.010036	0.010808	0.012125	0.011782	0.01236	0.012351	0.012482	0.011917	0.011541	0.012027	0.012599	0.01276	0.01243	0.012732	0.012562	0.012686	0.012556	0.012521	0.01234	0.01243	0.012649	0.012591	0.012517	0.012452	0.012517	0.012788	0.01259	0.012558	0.012514	0.01238	0.011195	0.012571	0.012501	0.012506	0.012477	0.012399	0.012482	0.012427	0.012283	0.012327	0.011607	0.01301	0.012145	0.012551	0.012199	0.012851	0.010663	0.0071817	0.012621	0.010426	0.012443	0.011538	0.011882	0.012818	0.013761	0.008354	0.012462	0.01255	0.012577	0.012506	0.012663	0.012771	0.012543                                                                                
GPR44  	0.012746	0.012905	0.011719	0.00691	0.012167	0.012492	0.012341	0.012436	0.012336	0.012464	0.012487	0.012604	0.012337	0.012787	0.012397	0.012516	0.012513	0.012397	0.012843	0.011107	0.010582	0.01108	0.011792	0.011296	0.01258	0.012268	0.012382	0.011735	0.011779	0.011611	0.012434	0.01243	0.012582	0.012462	0.012394	0.012467	0.012379	0.012326	0.012418	0.012329	0.012425	0.012451	0.012331	0.012423	0.012374	0.012463	0.012392	0.012444	0.012382	0.012301	0.010427	0.012447	0.012351	0.01237	0.012386	0.012273	0.012409	0.012306	0.012044	0.012148	0.011359	0.012487	0.011954	0.012399	0.011879	0.012505	0.011197	0.007797	0.012401	0.010998	0.012114	0.011753	0.012002	0.012496	0.012497	0.008315	0.012327	0.01239	0.012383	0.012361	0.012463	0.012504	0.012443                                                                                
ICOS   	0.011226	0.0088801	0.011713	0.0074003	0.012544	0.012998	0.012364	0.01257	0.012476	0.012589	0.012499	0.012627	0.012461	0.012652	0.012454	0.012635	0.012565	0.012624	0.0071265	0.011638	0.0099647	0.010766	0.011991	0.011499	0.012496	0.012371	0.012534	0.011693	0.011531	0.011837	0.012671	0.012732	0.012462	0.012858	0.012618	0.012756	0.012629	0.012541	0.012368	0.012454	0.012695	0.012633	0.012566	0.012484	0.012537	0.012699	0.012635	0.012599	0.012569	0.012412	0.011328	0.012597	0.012551	0.012521	0.012509	0.012427	0.012527	0.012454	0.012222	0.012291	0.011285	0.012924	0.012164	0.012588	0.012077	0.013275	0.010629	0.0070208	0.01263	0.010352	0.01246	0.011527	0.011892	0.012822	0.013155	0.0084322	0.012517	0.012575	0.01261	0.012542	0.012811	0.013033	0.01261                                                                         
IFNG   	0.011332	0.0093137	0.011886	0.0082734	0.012593	0.012647	0.012329	0.012499	0.012422	0.012512	0.012435	0.012554	0.012408	0.012613	0.012404	0.012537	0.012494	0.012499	0.0077124	0.012152	0.010338	0.010977	0.012148	0.011849	0.012603	0.012336	0.012516	0.011872	0.011656	0.012069	0.012535	0.012562	0.012394	0.012618	0.012508	0.012702	0.012509	0.012483	0.012305	0.012402	0.012626	0.012535	0.012461	0.012476	0.012457	0.012577	0.012521	0.012513	0.012472	0.012365	0.011217	0.012507	0.012474	0.012442	0.012441	0.012332	0.01247	0.012398	0.012284	0.012299	0.011615	0.012644	0.012163	0.012588	0.012215	0.012797	0.010902	0.0076187	0.012544	0.010761	0.012518	0.011657	0.011942	0.012652	0.012699	0.0081251	0.012436	0.012477	0.012484	0.012465	0.012604	0.012711	0.012514                                                                      
IFNGR2 	0.011715	0.010329	0.011267	0.0073022	0.012752	0.012732	0.012308	0.012552	0.012473	0.012551	0.01246	0.012584	0.012457	0.012516	0.012412	0.01258	0.012506	0.012613	0.0084644	0.012025	0.0095805	0.010645	0.01215	0.011742	0.012147	0.012332	0.012317	0.011208	0.0113	0.012251	0.012677	0.012686	0.012467	0.012756	0.012702	0.015931	0.012773	0.012978	0.012667	0.012588	0.012809	0.012657	0.012538	0.012071	0.012567	0.012637	0.012656	0.012571	0.012553	0.012381	0.010389	0.012583	0.012464	0.012537	0.012539	0.012337	0.012421	0.012456	0.012297	0.012235	0.010731	0.012752	0.012211	0.012773	0.012388	0.012914	0.010084	0.0068022	0.012572	0.0099184	0.012561	0.011315	0.01171	0.012839	0.01266	0.007153	0.012442	0.01266	0.012611	0.012579	0.012715	0.012843	0.012568                                                                             
IL10   	0.011345	0.0093856	0.01183	0.0086908	0.012639	0.012655	0.01231	0.012482	0.012413	0.01249	0.012417	0.012529	0.012402	0.012562	0.012388	0.012522	0.012474	0.0125	0.0077711	0.012314	0.010287	0.010945	0.012162	0.011866	0.012447	0.012327	0.012518	0.011802	0.011624	0.012095	0.012535	0.012556	0.012379	0.012629	0.012509	0.012773	0.012518	0.012494	0.012312	0.012403	0.012627	0.012526	0.012462	0.012358	0.01245	0.012566	0.012522	0.012493	0.012469	0.012358	0.011339	0.012496	0.012473	0.012437	0.01244	0.012321	0.012461	0.012391	0.012288	0.012288	0.011531	0.012632	0.012192	0.012598	0.012231	0.012861	0.010845	0.0075661	0.012535	0.010712	0.012565	0.011628	0.011917	0.012643	0.012652	0.0081189	0.012429	0.012473	0.012481	0.012463	0.012617	0.012744	0.012499                                                                            
IL12A  	0.011361	0.0094706	0.011674	0.0075061	0.012525	0.012543	0.012259	0.012442	0.012393	0.012429	0.012344	0.012465	0.012368	0.012427	0.012344	0.012453	0.012414	0.012461	0.0078371	0.011872	0.0098643	0.010686	0.013398	0.014108	0.01223	0.012302	0.012409	0.011701	0.0114	0.01401	0.012496	0.012521	0.012326	0.012541	0.012483	0.012978	0.012494	0.012747	0.012318	0.012403	0.012588	0.012503	0.012409	0.012181	0.012425	0.01249	0.012487	0.012451	0.012436	0.01235	0.010914	0.012454	0.012531	0.012516	0.012478	0.012262	0.0124	0.012437	0.013043	0.012505	0.011397	0.012557	0.012193	0.012713	0.013499	0.012616	0.01043	0.0070547	0.012483	0.010269	0.012397	0.011409	0.011763	0.012571	0.012549	0.0079032	0.01241	0.012432	0.012452	0.012454	0.012539	0.012599	0.012444                                                                              
IL12B  	0.013505	0.016172	0.011633	0.0088054	0.012207	0.012391	0.012201	0.012271	0.01223	0.01228	0.012227	0.012316	0.012198	0.012317	0.012197	0.012302	0.012282	0.012301	0.015817	0.011481	0.01002	0.0107	0.011962	0.011661	0.012175	0.012134	0.012291	0.011634	0.011392	0.011897	0.012333	0.01234	0.012418	0.012368	0.012305	0.012667	0.012312	0.012318	0.012539	0.012258	0.012369	0.012318	0.012263	0.012132	0.012266	0.012336	0.012312	0.01229	0.012258	0.012168	0.011152	0.012296	0.012254	0.012286	0.01232	0.012118	0.012254	0.012191	0.012086	0.012092	0.011351	0.012374	0.012042	0.012309	0.012043	0.012447	0.010563	0.0073059	0.012371	0.010452	0.012145	0.011396	0.011693	0.012507	0.012353	0.0078639	0.012238	0.01227	0.012309	0.012283	0.012357	0.012421	0.01229                                                                                 
IL13   	0.011604	0.010186	0.011695	0.0081228	0.012781	0.012472	0.012261	0.012397	0.012319	0.012403	0.012361	0.012461	0.01234	0.012513	0.012331	0.012423	0.012395	0.012385	0.0090107	0.013483	0.010832	0.011354	0.012172	0.011993	0.012433	0.012268	0.0124	0.011667	0.011776	0.012157	0.012413	0.01243	0.012329	0.012454	0.012402	0.012588	0.012403	0.012403	0.012258	0.012366	0.012558	0.012432	0.012355	0.012334	0.012356	0.012485	0.012434	0.01241	0.012374	0.012295	0.010987	0.012409	0.012366	0.012356	0.012374	0.012238	0.01237	0.012325	0.012262	0.01221	0.011383	0.012467	0.012061	0.012519	0.012255	0.012514	0.011155	0.0089486	0.012394	0.011085	0.012769	0.011785	0.01198	0.01248	0.012457	0.0079781	0.012326	0.012399	0.012362	0.012364	0.012446	0.012498	0.012402                                                                               
IL13RA1	0.011302	0.0090264	0.011326	0.0071646	0.013992	0.012728	0.012311	0.012558	0.012459	0.012543	0.012455	0.012608	0.012503	0.012574	0.012423	0.012574	0.012513	0.012571	0.0073659	0.015312	0.0097777	0.010728	0.012016	0.01156	0.012252	0.012341	0.012481	0.011284	0.011401	0.011904	0.012609	0.012649	0.012425	0.012695	0.012626	0.012809	0.012627	0.012588	0.012369	0.012558	0.013513	0.012653	0.012528	0.012194	0.012505	0.012604	0.012731	0.012581	0.01254	0.012379	0.010465	0.012571	0.012481	0.012509	0.012569	0.012325	0.012477	0.012443	0.012223	0.012223	0.010857	0.01274	0.012139	0.013057	0.012159	0.012754	0.010293	0.0069737	0.012581	0.010146	0.013721	0.01142	0.011785	0.012742	0.012714	0.0072542	0.012434	0.012627	0.012539	0.012592	0.012655	0.012737	0.012556                                                                        
IL13RA2	0.011326	0.009118	0.011694	0.0072703	0.012497	0.012659	0.01238	0.012539	0.01244	0.012549	0.012509	0.012619	0.012442	0.012661	0.012458	0.012587	0.012548	0.012529	0.0075066	0.011752	0.010429	0.011081	0.012169	0.011841	0.01251	0.012373	0.012619	0.011642	0.011736	0.012079	0.012564	0.012591	0.012451	0.012633	0.012535	0.012657	0.012526	0.012503	0.012318	0.012432	0.012653	0.012635	0.012485	0.012811	0.012488	0.012671	0.012545	0.012609	0.012523	0.012414	0.010777	0.012581	0.01253	0.012478	0.012485	0.012382	0.012552	0.012445	0.012323	0.012299	0.011285	0.012661	0.012118	0.012577	0.012247	0.012739	0.010993	0.0077468	0.012566	0.010785	0.01243	0.011733	0.012016	0.012654	0.012691	0.0084513	0.012453	0.012509	0.012496	0.012502	0.01263	0.012703	0.012552                                                                            
IL17A  	0.011257	0.0092148	0.011779	0.0084917	0.012498	0.012612	0.012305	0.012446	0.012374	0.012454	0.012368	0.012481	0.012358	0.012554	0.012344	0.01249	0.012445	0.012454	0.0076049	0.012105	0.01019	0.010855	0.012012	0.011643	0.012512	0.012289	0.012475	0.01176	0.011559	0.011888	0.012496	0.012517	0.012331	0.012566	0.012461	0.012538	0.012462	0.012409	0.012263	0.012355	0.012528	0.012485	0.01258	0.013084	0.012412	0.012591	0.012483	0.012525	0.012437	0.012316	0.015596	0.012478	0.012427	0.012387	0.012393	0.012295	0.012435	0.012355	0.012193	0.012233	0.011469	0.01256	0.012139	0.012481	0.012071	0.01269	0.010761	0.0074375	0.012577	0.010621	0.012494	0.011563	0.01186	0.012649	0.012563	0.0080673	0.012569	0.012421	0.012446	0.012424	0.012553	0.012652	0.01248                                                                             
IL17RB 	0.011004	0.0080955	0.01139	0.0060668	0.011715	0.01237	0.013232	0.012589	0.01236	0.012497	0.012413	0.012378	0.012362	0.012164	0.01237	0.012575	0.012468	0.012414	0.0064391	0.010149	0.00984	0.010551	0.011095	0.010166	0.011933	0.01225	0.012024	0.011494	0.011566	0.010647	0.012464	0.012452	0.012423	0.012484	0.012476	0.012071	0.012358	0.012181	0.012132	0.012334	0.012194	0.012811	0.013084	0.033675	0.012416	0.012681	0.012462	0.01472	0.012438	0.012275	0.011349	0.012844	0.012212	0.012345	0.012379	0.012761	0.012454	0.012422	0.011585	0.012009	0.010713	0.012389	0.011835	0.012051	0.011176	0.012417	0.010742	0.0066183	0.012559	0.010191	0.011865	0.01157	0.011924	0.012486	0.012212	0.0090562	0.012293	0.012416	0.012359	0.012395	0.012498	0.012507	0.012622                                                                             
IL18   	0.011322	0.0093564	0.01315	0.007625	0.012378	0.012573	0.012352	0.012466	0.012454	0.012469	0.012426	0.012504	0.012382	0.012545	0.012389	0.012498	0.012469	0.012451	0.0077666	0.011647	0.010449	0.011021	0.012098	0.011787	0.012457	0.012357	0.012458	0.012949	0.011709	0.011987	0.012477	0.012517	0.012374	0.012537	0.012457	0.012567	0.01245	0.012425	0.012266	0.012356	0.012505	0.012488	0.012412	0.012416	0.012503	0.012657	0.012458	0.012469	0.012428	0.012346	0.011041	0.012494	0.01244	0.012401	0.012392	0.012332	0.012441	0.012372	0.012247	0.012412	0.013042	0.012561	0.012092	0.012524	0.012141	0.01262	0.011	0.0077471	0.012485	0.010909	0.012309	0.01171	0.011965	0.012568	0.012569	0.0082899	0.012388	0.012424	0.012486	0.012428	0.012522	0.012584	0.012462                                                                              
IL1RL1 	0.011161	0.0086547	0.012112	0.0070181	0.012381	0.012691	0.012405	0.012578	0.012483	0.012566	0.012587	0.012593	0.012469	0.012537	0.012471	0.012608	0.012562	0.012572	0.0068927	0.011452	0.010298	0.01096	0.011834	0.011242	0.012331	0.012448	0.012516	0.011842	0.011728	0.011604	0.012612	0.012788	0.012463	0.012699	0.012577	0.012637	0.012566	0.01249	0.012336	0.012485	0.012604	0.012671	0.012591	0.012681	0.012657	0.013979	0.01259	0.012643	0.012553	0.012421	0.011344	0.012795	0.012506	0.012489	0.012487	0.012458	0.012539	0.012456	0.012129	0.012285	0.011517	0.01279	0.012113	0.012546	0.01193	0.012751	0.010911	0.007324	0.012597	0.01084	0.01234	0.011724	0.012009	0.012774	0.012933	0.0086665	0.012474	0.012542	0.012568	0.012531	0.012661	0.012734	0.012591                                                                             
IL21   	0.011342	0.0093388	0.011741	0.0074337	0.012938	0.012732	0.012318	0.012499	0.012413	0.012506	0.012427	0.012544	0.012421	0.012571	0.012396	0.012529	0.012483	0.012507	0.0077283	0.013275	0.010226	0.010923	0.012079	0.011738	0.012511	0.012327	0.012517	0.011714	0.011599	0.011996	0.012542	0.01259	0.012392	0.012635	0.012521	0.012656	0.012522	0.012487	0.012312	0.012434	0.012731	0.012545	0.012483	0.012462	0.012458	0.01259	0.01257	0.012523	0.012479	0.012359	0.011386	0.012512	0.012466	0.012446	0.012463	0.012331	0.012467	0.012397	0.012248	0.01226	0.011377	0.012695	0.012101	0.012663	0.012171	0.012742	0.010786	0.0074997	0.012544	0.010637	0.012913	0.011604	0.011903	0.012688	0.012802	0.0081174	0.012443	0.012508	0.012496	0.01247	0.012599	0.012691	0.012514                                                                          
IL25   	0.011321	0.0091229	0.011731	0.0070202	0.012433	0.012621	0.012454	0.012551	0.012425	0.01256	0.012489	0.012588	0.012426	0.012629	0.012443	0.012578	0.012536	0.012503	0.0075618	0.011688	0.010433	0.011057	0.012023	0.01163	0.012767	0.012353	0.012525	0.011709	0.011737	0.011895	0.01254	0.012558	0.012444	0.012599	0.012513	0.012571	0.012493	0.012451	0.01229	0.01241	0.012581	0.012609	0.012525	0.01472	0.012469	0.012643	0.012523	0.012783	0.012495	0.012388	0.010848	0.012585	0.012475	0.01245	0.012456	0.012405	0.012518	0.012427	0.012221	0.012262	0.011325	0.012616	0.012062	0.012535	0.012102	0.012684	0.011012	0.0077349	0.012537	0.010807	0.01239	0.011735	0.012011	0.012615	0.012629	0.0084484	0.012437	0.012489	0.012471	0.01247	0.012595	0.012665	0.012566                                                                              
IL2RA  	0.011245	0.0090627	0.011748	0.0073993	0.012387	0.012612	0.012342	0.012479	0.012392	0.012491	0.012459	0.01255	0.012404	0.012616	0.012429	0.012524	0.012494	0.012476	0.0074454	0.011622	0.010952	0.011334	0.012148	0.011872	0.01251	0.012367	0.012742	0.011701	0.011946	0.01207	0.012503	0.012514	0.012382	0.012569	0.012472	0.012553	0.012469	0.012436	0.012258	0.012374	0.01254	0.012523	0.012437	0.012438	0.012428	0.012553	0.012479	0.012495	0.012482	0.012407	0.011516	0.012497	0.012518	0.012424	0.012432	0.012344	0.012551	0.012405	0.012306	0.012277	0.011385	0.012571	0.012074	0.012502	0.012214	0.012708	0.011554	0.0084042	0.012496	0.011343	0.012333	0.011932	0.012146	0.012572	0.01257	0.0083044	0.012448	0.012449	0.012437	0.012439	0.012575	0.012649	0.012494                                                                          
IL3    	0.011212	0.0091494	0.011905	0.0075137	0.012155	0.012437	0.012318	0.012391	0.012328	0.012397	0.012411	0.012442	0.012349	0.012492	0.012394	0.012419	0.012412	0.012374	0.0075918	0.011223	0.011867	0.011864	0.012263	0.012175	0.012406	0.012365	0.012805	0.011884	0.012318	0.012247	0.012385	0.01238	0.012301	0.012412	0.012365	0.012381	0.012358	0.01235	0.012168	0.012295	0.012379	0.012414	0.012316	0.012275	0.012346	0.012421	0.012359	0.012388	0.012407	0.012396	0.01105	0.0124	0.012475	0.012349	0.012354	0.012288	0.01252	0.012359	0.012357	0.012285	0.011681	0.012396	0.012011	0.012385	0.012303	0.012469	0.0123	0.0097618	0.012377	0.012366	0.012104	0.012311	0.012358	0.012401	0.012336	0.0081235	0.012356	0.012352	0.01233	0.012351	0.012435	0.012455	0.012393                                                                              
IL31   	0.0089217	0.0061751	0.0087482	0.0051552	0.0099664	0.011796	0.010758	0.010919	0.010981	0.010929	0.010391	0.010614	0.010873	0.011544	0.010663	0.011131	0.011123	0.011247	0.0044123	0.0083161	0.0067888	0.0080525	0.0095654	0.0086171	0.012223	0.010984	0.011956	0.0087386	0.0089643	0.0090676	0.011504	0.011195	0.010427	0.011328	0.011217	0.010389	0.011339	0.010914	0.011152	0.010987	0.010465	0.010777	0.015596	0.011349	0.011041	0.011344	0.011386	0.010848	0.011516	0.01105	0.15283	0.011112	0.011456	0.011007	0.011075	0.010871	0.011518	0.011182	0.010679	0.010694	0.0081161	0.010597	0.010808	0.010152	0.0095913	0.010766	0.0073593	0.0041003	0.012342	0.0072324	0.010694	0.0090068	0.0096115	0.011763	0.0098808	0.0051348	0.017068	0.010928	0.011394	0.011188	0.011369	0.011457	0.011569                                                     
