       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL24  	0.011343	0.0091707	0.011778	0.0067282	0.012214	0.012517	0.01239	0.012492	0.012383	0.012513	0.012621	0.012705	0.012427	0.012953	0.012509	0.012597	0.01259	0.012438	0.0076835	0.011204	0.011803	0.011855	0.011805	0.011289	0.012468	0.012393	0.012449	0.011658	0.012385	0.011609	0.012468	0.012468	0.012487	0.012499	0.012435	0.01246	0.012417	0.012344	0.012227	0.012361	0.012455	0.012509	0.012368	0.012413	0.012426	0.012587	0.012427	0.012489	0.012459	0.012411	0.010391	0.012517	0.012412	0.012392	0.012382	0.012374	0.012491	0.012387	0.012083	0.012191	0.011317	0.012519	0.011963	0.012456	0.011883	0.012547	0.012379	0.0094191	0.012411	0.012252	0.012159	0.012338	0.012424	0.012471	0.012527	0.0084981	0.012364	0.012452	0.012391	0.012401	0.012509	0.012534	0.012482                                                                        
CCL26  	0.011312	0.008913	0.011525	0.0066478	0.012371	0.012661	0.012426	0.012629	0.012492	0.012679	0.012705	0.013402	0.012507	0.014395	0.012676	0.012935	0.012906	0.012552	0.0073146	0.011401	0.010381	0.011044	0.011936	0.011444	0.012639	0.012399	0.012603	0.01146	0.011792	0.011765	0.012611	0.01258	0.012604	0.012627	0.012554	0.012584	0.012529	0.012465	0.012316	0.012461	0.012608	0.012619	0.012481	0.012378	0.012504	0.012593	0.012544	0.012588	0.01255	0.012442	0.010614	0.012602	0.012529	0.012515	0.01252	0.012426	0.012608	0.012464	0.012207	0.012262	0.011073	0.012644	0.012051	0.012559	0.012038	0.012669	0.01102	0.0075146	0.012524	0.010745	0.012327	0.011746	0.01207	0.012581	0.01266	0.0084178	0.012549	0.012599	0.012497	0.0125	0.012657	0.01266	0.012599                                                                                
CCL5   	0.011225	0.0091006	0.011964	0.0086055	0.01255	0.01248	0.012313	0.012435	0.012364	0.012442	0.012427	0.012507	0.012381	0.012606	0.012392	0.012469	0.012448	0.012403	0.0075553	0.012325	0.011323	0.011555	0.01205	0.011744	0.012522	0.012336	0.012457	0.011932	0.012074	0.011938	0.012423	0.012427	0.012337	0.012461	0.012408	0.012457	0.012402	0.012368	0.012198	0.01234	0.012503	0.012442	0.012358	0.012362	0.012382	0.012469	0.012421	0.012426	0.012404	0.012349	0.010873	0.012431	0.012394	0.012358	0.012359	0.01229	0.012424	0.012348	0.012201	0.012249	0.011751	0.012461	0.0121	0.012573	0.012098	0.012524	0.011781	0.0090243	0.012424	0.011785	0.012514	0.012072	0.012196	0.012468	0.012423	0.0081176	0.012345	0.012403	0.012374	0.012382	0.012462	0.012506	0.012427                                                                            
CCL8   	0.011113	0.0082182	0.011238	0.0061805	0.012182	0.012728	0.012505	0.012787	0.012587	0.012895	0.012953	0.014395	0.012606	0.017408	0.013003	0.013475	0.013454	0.012613	0.0064471	0.010725	0.010027	0.010853	0.011615	0.01087	0.013005	0.012443	0.01267	0.011175	0.011726	0.011297	0.012713	0.012588	0.012787	0.012652	0.012613	0.012516	0.012562	0.012427	0.012317	0.012513	0.012574	0.012661	0.012554	0.012164	0.012545	0.012537	0.012571	0.012629	0.012616	0.012492	0.011544	0.012665	0.012565	0.012581	0.012585	0.012482	0.012728	0.012516	0.012061	0.012227	0.010729	0.012618	0.012017	0.012521	0.011723	0.012612	0.010669	0.0069537	0.012562	0.010408	0.012157	0.011639	0.012047	0.012553	0.012528	0.0073917	0.012795	0.012752	0.012527	0.012531	0.01273	0.012648	0.012708                                                                        
CCR3   	0.011267	0.0091276	0.011928	0.0071971	0.012207	0.012476	0.012358	0.012461	0.012372	0.012483	0.012509	0.012676	0.012392	0.013003	0.012472	0.012555	0.012546	0.012408	0.0076338	0.011269	0.01167	0.011756	0.012017	0.011704	0.012599	0.012371	0.012578	0.011897	0.012272	0.011895	0.012434	0.012422	0.012397	0.012454	0.012404	0.012412	0.012388	0.012344	0.012197	0.012331	0.012423	0.012458	0.012344	0.01237	0.012389	0.012471	0.012396	0.012443	0.012429	0.012394	0.010663	0.012453	0.012433	0.012374	0.01237	0.01233	0.012498	0.012372	0.012207	0.012254	0.011685	0.012455	0.011993	0.012439	0.012072	0.012497	0.012229	0.0093991	0.0124	0.012086	0.012154	0.012239	0.012346	0.012434	0.012428	0.0082481	0.012376	0.012414	0.012368	0.012377	0.012472	0.012488	0.01245                                                                            
CCR4   	0.011259	0.0089064	0.011823	0.0071947	0.012356	0.012662	0.012405	0.012598	0.012476	0.012638	0.012597	0.012935	0.012469	0.013475	0.012555	0.01275	0.012715	0.012538	0.0072601	0.011307	0.010454	0.011047	0.011944	0.011458	0.01293	0.012387	0.01255	0.011783	0.011792	0.011764	0.012587	0.012572	0.012516	0.012635	0.012537	0.01258	0.012522	0.012453	0.012302	0.012423	0.012574	0.012587	0.01249	0.012575	0.012498	0.012608	0.012529	0.012578	0.012524	0.012419	0.011131	0.012577	0.012507	0.012478	0.012472	0.012401	0.012553	0.012439	0.012193	0.012287	0.011509	0.012631	0.012091	0.012576	0.012017	0.012774	0.011093	0.0075531	0.012563	0.010882	0.012288	0.011766	0.012057	0.01263	0.012613	0.0083757	0.012519	0.012535	0.0125	0.012489	0.012649	0.012719	0.012595                                                                             
CCR8   	0.011359	0.0091828	0.011886	0.0070843	0.012264	0.012602	0.012398	0.012572	0.012452	0.012613	0.01259	0.012906	0.012448	0.013454	0.012546	0.012715	0.012696	0.012497	0.0076659	0.01115	0.010717	0.01119	0.011947	0.011497	0.012981	0.012384	0.012582	0.011845	0.011905	0.011774	0.01254	0.012519	0.012513	0.012565	0.012494	0.012506	0.012474	0.012414	0.012282	0.012395	0.012513	0.012548	0.012445	0.012468	0.012469	0.012562	0.012483	0.012536	0.012494	0.012412	0.011123	0.012545	0.012487	0.012449	0.012445	0.012378	0.012549	0.012419	0.01219	0.012279	0.011592	0.012563	0.012052	0.012534	0.012014	0.012626	0.011322	0.0078841	0.012514	0.011193	0.0122	0.011879	0.012121	0.012559	0.012532	0.0083466	0.012496	0.012499	0.012461	0.012454	0.012582	0.012615	0.012565                                                                            
CD40LG 	0.011349	0.009376	0.011874	0.0087635	0.012445	0.012718	0.012328	0.012498	0.012417	0.012515	0.012438	0.012552	0.012403	0.012613	0.012408	0.012538	0.012497	0.012504	0.0077798	0.011703	0.010395	0.010999	0.012134	0.011811	0.012645	0.012342	0.012594	0.011837	0.01169	0.012033	0.012533	0.012549	0.012397	0.012624	0.012499	0.012613	0.0125	0.012461	0.012301	0.012385	0.012571	0.012529	0.012454	0.012414	0.012451	0.012572	0.012507	0.012503	0.012476	0.012374	0.011247	0.012505	0.012494	0.012436	0.012437	0.012335	0.012496	0.012396	0.01228	0.012295	0.011577	0.012624	0.012193	0.01254	0.012189	0.012811	0.010968	0.0076408	0.012542	0.01084	0.012378	0.011691	0.011966	0.012633	0.012631	0.0082359	0.012447	0.012463	0.012482	0.01246	0.012612	0.012726	0.012517                                                                             
CHI3L1 	0.061831	0.14138	0.0053202	0.0028201	0.0062794	0.0067339	0.009362	0.0074155	0.0076907	0.0074147	0.0076835	0.0073146	0.0075553	0.0064471	0.0076338	0.0072601	0.0076659	0.0077798	0.23657	0.0051166	0.0041336	0.0052785	0.0060269	0.0050293	0.0057909	0.0074605	0.0067176	0.0056483	0.0060107	0.0057269	0.0077576	0.0073936	0.012843	0.0071265	0.0077124	0.0084644	0.0077711	0.0078371	0.015817	0.0090107	0.0073659	0.0075066	0.0076049	0.0064391	0.0077666	0.0068927	0.0077283	0.0075618	0.0074454	0.0075918	0.0044123	0.0075936	0.007098	0.0086789	0.0095283	0.0074494	0.0072537	0.0074368	0.0066398	0.0069153	0.0047504	0.0069118	0.0074832	0.0066781	0.0065796	0.0064841	0.0044644	0.0023265	0.007306	0.0043424	0.006496	0.0059897	0.0065113	0.0080025	0.006351	0.002818	0.0074918	0.0077528	0.0080522	0.0078331	0.0072003	0.006866	0.0075714     
CHIA   	0.0099037	0.0067657	0.0088552	0.0050473	0.02971	0.011455	0.011097	0.011656	0.011521	0.011476	0.011204	0.011401	0.012325	0.010725	0.011269	0.011307	0.01115	0.011703	0.0051166	0.084673	0.0073963	0.009261	0.0096709	0.0085645	0.0099971	0.011287	0.010482	0.0086789	0.009474	0.0093052	0.011682	0.011745	0.011107	0.011638	0.012152	0.012025	0.012314	0.011872	0.011481	0.013483	0.015312	0.011752	0.012105	0.010149	0.011647	0.011452	0.013275	0.011688	0.011622	0.011223	0.0083161	0.011574	0.010918	0.01151	0.012277	0.011172	0.010927	0.011473	0.010308	0.010652	0.0080572	0.011516	0.011021	0.014918	0.010314	0.011092	0.0077074	0.0049806	0.01098	0.0076153	0.031835	0.0095959	0.010099	0.011508	0.010796	0.0050612	0.011226	0.012674	0.011603	0.01175	0.011415	0.011344	0.011561                                                             
