CSF2	RORC	0.015742
CSF2	TBX21	0.015504
CSF3R	IL3	0.015798
CSF3R	IL3RA	0.015766
CSF3R	IL5RA	0.016215
CSF3R	KIT	0.018178
CSF3R	KITLG	0.015579
FOXP3	GPR44	0.015712
FOXP3	IL13	0.015446
FOXP3	IL18	0.015706
FOXP3	IL1RL1	0.016132
FOXP3	IL3	0.015595
FOXP3	IL3RA	0.015593
FOXP3	IL4	0.015406
FOXP3	IL4R	0.015244
FOXP3	IL9	0.015374
FOXP3	MAF	0.016476
FOXP3	MMP9	0.016263
FOXP3	PDCD1	0.016327
FOXP3	PPARG	0.016657
FOXP3	TSLP	0.015542
GATA3	ICOS	0.017002
GATA3	IL12B	0.015913
GATA3	IL13RA1	0.015811
GATA3	IL13RA2	0.015811
GATA3	IL18	0.015949
GATA3	IL21	0.015777
GATA3	IL25	0.015657
GATA3	IL2RA	0.015295
GATA3	IL33	0.016655
GATA3	IL4R	0.015165
GATA3	IL9	0.015172
GATA3	PDCD1	0.015664
GATA3	PPARG	0.015844
GATA3	RORC	0.016412
GATA3	TGFB1	0.015711
GATA3	TSLP	0.015135
GPR44	IFNG	0.015931
GPR44	IL10	0.015337
GPR44	IL13	0.015209
GPR44	IL17A	0.015563
GPR44	IL18	0.015294
GPR44	IL4	0.015065
GPR44	IL9	0.015031
GPR44	PPARG	0.015662
GPR44	RNASE3	0.014128
GPR44	STAT6	0.015256
GPR44	TSLP	0.015533
ICOS	IL12A	0.016286
ICOS	IL12B	0.015949
ICOS	IL13	0.015218
ICOS	IL2RA	0.015365
ICOS	IL4	0.015413
ICOS	IL9	0.015015
ICOS	MMP9	0.015764
ICOS	RORC	0.016823
ICOS	STAT6	0.015271
ICOS	TGFB1	0.015887
IFNG	IL13RA1	0.015617
IFNG	IL13RA2	0.015617
IFNG	IL1RL1	0.015954
IFNG	IL25	0.015483
IFNG	IL33	0.015759
IFNG	IL3RA	0.015637
IFNG	KIT	0.015496
IFNG	KITLG	0.014545
IFNG	MAF	0.015701
IFNG	PPARG	0.016045
IFNG	RORC	0.016311
IFNG	TSLP	0.015463
IFNGR2	IL10	0.016829
IFNGR2	IL13	0.01539
IFNGR2	IL17A	0.01642
IFNGR2	IL18	0.01556
IFNGR2	IL4R	0.015542
IFNGR2	IL5	0.014865
IFNGR2	MMP9	0.015758
IFNGR2	STAT6	0.01653
IFNGR2	TBX21	0.017763
IFNGR2	TGFB1	0.016018
IL10	IL13RA1	0.015629
IL10	IL13RA2	0.015629
IL10	IL1RL1	0.016054
IL10	IL21	0.015754
IL10	IL25	0.015312
IL10	IL3	0.015453
IL10	IL33	0.015733
IL10	IL3RA	0.015551
IL10	IL9	0.01524
IL10	KIT	0.015365
IL10	MAF	0.016638
IL10	MMP9	0.015933
IL10	PPARG	0.015877
IL10	RORC	0.016308
IL10	TSLP	0.015295
IL12A	IL13	0.015548
IL12A	IL18	0.015788
IL12A	IL1RL1	0.01609
IL12A	IL21	0.015887
IL12A	IL2RA	0.015455
IL12A	IL33	0.015792
IL12A	IL4R	0.01549
IL12A	IL5	0.0154
IL12A	MAF	0.015921
IL12A	MMP9	0.01616
IL12A	PDCD1	0.015648
IL12A	RORC	0.017027
IL12A	STAT5A	0.015173
IL12A	TGFB1	0.016099
IL12B	IL18	0.015673
IL12B	IL1RL1	0.016022
